run_id	version	context	task	order	start_sha	final_sha	wall_ms	exit_code	input_tokens	cached_input_tokens	uncached_input_tokens	output_tokens	reasoning_output_tokens	shell_calls	file_changes	atomic_commands	clj_invocations	source_commands	source_output_bytes	total_tool_output_bytes	skill_read	show_form	grep_form	ls_used	help_used	text_reader	q_used	xray_used	partition_all_used	edit_used	expr_used	first_source_edit	plan_generated	plan_applied	plan_apply_separate	verified	exact_correct	correct	expect_used	expect_route	decision_supplied	post_decision_source_commands	change_used	change_apply_used	change_apply_successes	failed_mutation_actions	temp_manifest_patch	single_change_transaction	mcp_calls	mcp_successes	mcp_failures	mcp_tool_output_bytes	mcp_first_mutation	user_turns	tool_round_trips	discovery_round_trips	post_decision_round_trips
02-r02-pair-view-expect-edit-matched-skill-mcp	mcp	matched-skill	pair-view-expect-edit	2	56a156f76bad4330ab79d6671462893374749277d1c56422e87ef19748fe81ca	ac1d08366599cce00e7c6fe2440e43e83aeb8af647018bfca31f89231faf5d32	45020	0	108343	89600	18743	1303	524	1	0	1	0	0	1652	5924	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true	true	false	0	true	true	1	0	false	true	3	3	0	730	true	1	4	3	1
01-r01-pair-view-expect-edit-matched-skill-mcp	mcp	matched-skill	pair-view-expect-edit	1	56a156f76bad4330ab79d6671462893374749277d1c56422e87ef19748fe81ca	ac1d08366599cce00e7c6fe2440e43e83aeb8af647018bfca31f89231faf5d32	52018	0	88157	62208	25949	1390	764	1	0	1	0	0	826	5655	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true	true	false	0	true	true	1	0	false	true	2	2	0	461	true	1	3	2	1
04-r04-pair-view-expect-edit-matched-skill-mcp	mcp	matched-skill	pair-view-expect-edit	4	56a156f76bad4330ab79d6671462893374749277d1c56422e87ef19748fe81ca	ac1d08366599cce00e7c6fe2440e43e83aeb8af647018bfca31f89231faf5d32	58469	0	88774	76544	12230	1595	871	1	0	2	0	0	826	5795	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true	true	false	0	true	true	1	0	false	true	2	2	0	463	true	1	3	2	1
03-r03-pair-view-expect-edit-matched-skill-mcp	mcp	matched-skill	pair-view-expect-edit	3	56a156f76bad4330ab79d6671462893374749277d1c56422e87ef19748fe81ca	ac1d08366599cce00e7c6fe2440e43e83aeb8af647018bfca31f89231faf5d32	66784	0	109395	89600	19795	1877	926	1	0	1	0	0	1656	5931	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true	true	false	0	true	true	1	0	false	true	3	3	0	737	true	1	4	2	2
06-r06-pair-view-expect-edit-matched-skill-mcp	mcp	matched-skill	pair-view-expect-edit	6	56a156f76bad4330ab79d6671462893374749277d1c56422e87ef19748fe81ca	ac1d08366599cce00e7c6fe2440e43e83aeb8af647018bfca31f89231faf5d32	48756	0	68456	49152	19304	1222	645	1	0	1	0	0	0	5377	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true	true	false	0	true	true	1	0	false	true	1	1	0	183	true	1	2	1	1
05-r05-pair-view-expect-edit-matched-skill-mcp	mcp	matched-skill	pair-view-expect-edit	5	56a156f76bad4330ab79d6671462893374749277d1c56422e87ef19748fe81ca	ac1d08366599cce00e7c6fe2440e43e83aeb8af647018bfca31f89231faf5d32	52532	0	68784	49152	19632	1199	599	1	0	2	0	0	0	5515	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true	true	false	0	true	true	1	0	false	true	1	1	0	183	true	1	2	1	1
07-r07-pair-view-expect-edit-matched-skill-mcp	mcp	matched-skill	pair-view-expect-edit	7	56a156f76bad4330ab79d6671462893374749277d1c56422e87ef19748fe81ca	ac1d08366599cce00e7c6fe2440e43e83aeb8af647018bfca31f89231faf5d32	63851	0	88983	60160	28823	1931	1095	1	0	2	0	0	826	5793	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true	true	false	0	true	true	1	0	false	true	2	2	0	461	true	1	3	2	1
08-r08-pair-view-expect-edit-matched-skill-mcp	mcp	matched-skill	pair-view-expect-edit	8	56a156f76bad4330ab79d6671462893374749277d1c56422e87ef19748fe81ca	ac1d08366599cce00e7c6fe2440e43e83aeb8af647018bfca31f89231faf5d32	41764	0	88284	75520	12764	1536	797	1	0	1	0	0	826	5650	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true	true	false	0	true	true	1	0	false	true	2	2	0	456	true	1	3	2	1
09-r09-pair-view-expect-edit-matched-skill-mcp	mcp	matched-skill	pair-view-expect-edit	9	56a156f76bad4330ab79d6671462893374749277d1c56422e87ef19748fe81ca	ac1d08366599cce00e7c6fe2440e43e83aeb8af647018bfca31f89231faf5d32	42767	0	68625	53248	15377	1175	599	1	0	1	0	0	0	5377	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true	true	false	0	true	true	1	0	false	true	1	1	0	183	true	1	2	1	1
10-r10-pair-view-expect-edit-matched-skill-mcp	mcp	matched-skill	pair-view-expect-edit	10	56a156f76bad4330ab79d6671462893374749277d1c56422e87ef19748fe81ca	ac1d08366599cce00e7c6fe2440e43e83aeb8af647018bfca31f89231faf5d32	63429	0	87996	67328	20668	1845	1214	1	0	1	0	0	826	5655	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	true	true	true	true	false	0	true	true	1	0	false	true	2	2	0	461	true	1	3	2	1
