tag	condition	replicate	wall_ms	exit_code	prompt_bytes	prompt_sha256_16	input-tokens	cached-input-tokens	output-tokens	reasoning-output-tokens	decoded-tokens	turn-started-ms	message-chars	loadavg
r01-A	A	1	6513	0	1048140	3ee704480cc033bf	233949	9984	5	0	5	266.1	2	1.20 1.06 1.08
r01-B	B	1	25873	0	126	d1378c2054ad4458	14425	9984	1226	21	1247	285.3	2291	1.34 1.09 1.09
r01-C	C	1	3927	0	53	ac06a64cbe87a9b9	14405	9984	5	0	5	284.3	2	1.63 1.16 1.11
r02-A	A	2	7700	0	1048140	cfe6c2247cf799e2	233906	9984	5	0	5	327.9	2	1.38 1.12 1.10
r02-B	B	2	25484	0	126	d1378c2054ad4458	14425	12032	1227	22	1249	288.7	2291	1.23 1.11 1.09
r02-C	C	2	4208	0	53	ac06a64cbe87a9b9	14405	9984	5	0	5	336.9	2	1.13 1.09 1.09
r03-A	A	3	6717	0	1048140	fd1485ff210f1327	234104	9984	5	0	5	320.6	2	1.04 1.07 1.08
r03-B	B	3	25897	0	126	d1378c2054ad4458	14425	9984	1222	17	1239	250.3	2291	1.24 1.13 1.10
r03-C	C	3	3743	0	53	ac06a64cbe87a9b9	14405	9984	5	0	5	290.1	2	1.14 1.11 1.09
r04-A	A	4	6776	0	1048140	64add629be11785e	233981	9984	5	0	5	305.6	2	1.12 1.10 1.09
r04-B	B	4	25303	0	126	d1378c2054ad4458	14425	0	1220	15	1235	281.6	2291	0.88 1.05 1.07
r04-C	C	4	3647	0	53	ac06a64cbe87a9b9	14405	9984	5	0	5	299.7	2	0.88 1.05 1.07
r05-A	A	5	7538	0	1048140	ada515df11394ee0	233941	12032	5	0	5	248.3	2	0.97 1.06 1.08
r05-B	B	5	25517	0	126	d1378c2054ad4458	14425	9984	1220	15	1235	302.2	2291	1.34 1.14 1.10
r05-C	C	5	3626	0	53	ac06a64cbe87a9b9	14405	9984	5	0	5	305.6	2	1.32 1.13 1.10
r06-A	A	6	6954	0	1048140	e95609efbd4d6da3	234020	14080	5	0	5	300.4	2	1.29 1.13 1.10
r06-B	B	6	25705	0	126	d1378c2054ad4458	14425	9984	1222	17	1239	327.7	2291	1.83 1.27 1.14
r06-C	C	6	3997	0	53	ac06a64cbe87a9b9	14405	9984	5	0	5	334.5	2	1.83 1.27 1.14
r07-A	A	7	7508	0	1048140	bf829c6c97d4879e	233780	9984	5	0	5	273.3	2	2.78 1.49 1.22
r07-B	B	7	26835	0	126	d1378c2054ad4458	14425	9984	1219	14	1233	276.9	2291	2.13 1.43 1.21
r07-C	C	7	3285	0	53	ac06a64cbe87a9b9	14405	12032	5	0	5	347.9	2	2.04 1.43 1.20
r08-A	A	8	6918	0	1048140	eedd30cedc45a9d0	233966	9984	5	0	5	290.5	2	1.72 1.38 1.19
r08-B	B	8	25781	0	126	d1378c2054ad4458	14425	14080	1222	17	1239	309.9	2291	1.52 1.36 1.19
r08-C	C	8	5752	0	53	ac06a64cbe87a9b9	14405	12032	5	0	5	329.8	2	1.40 1.34 1.18
r09-A	A	9	9521	0	1048140	eda5f27efb41ab4b	233822	9984	5	0	5	298.9	2	1.34 1.33 1.18
r09-B	B	9	28636	0	126	d1378c2054ad4458	14425	9984	1228	23	1251	265.0	2291	1.18 1.30 1.17
r09-C	C	9	3979	0	53	ac06a64cbe87a9b9	14405	14080	5	0	5	321.0	2	1.18 1.30 1.17
