tag	condition	replicate	wall_ms	exit_code	prompt_bytes	prompt_sha256_16	input-tokens	cached-input-tokens	output-tokens	reasoning-output-tokens	decoded-tokens	turn-started-ms	message-chars	expected_sha256_16	message_sha256_16	reproduction_exact	loadavg
r01-B	B	1	25823	0	126	d1378c2054ad4458	14423	9984	1226	21	1247	350.7	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	0.98 1.07 1.16
r01-C	C	1	3839	0	53	ac06a64cbe87a9b9	14403	9984	5	0	5	246.3	2				1.11 1.10 1.16
r01-D	D	1	26964	0	6017	eec63f4155a54977	15650	14080	1233	0	1233	297.4	5868	f4ea41fe839e0ba3	f4ea41fe839e0ba3	true	1.03 1.08 1.16
r01-E	E	1	25313	0	2441	0726494fb55c0973	15621	9984	1203	0	1203	308.1	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	1.02 1.07 1.15
r02-B	B	2	25773	0	126	d1378c2054ad4458	14423	12032	1222	17	1239	277.4	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	0.99 1.05 1.14
r02-C	C	2	4910	0	53	ac06a64cbe87a9b9	14403	14080	5	0	5	329.9	2				0.94 1.06 1.15
r02-D	D	2	25348	0	6053	9e6f0f6a6f90da79	15650	9984	1233	0	1233	327.6	5904	4afd3cff1d811028	4afd3cff1d811028	true	1.08 1.06 1.14
r02-E	E	2	26723	0	2441	0726494fb55c0973	15621	12032	1203	0	1203	249.6	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	0.87 1.01 1.12
r03-B	B	3	25518	0	126	d1378c2054ad4458	14423	14080	1221	16	1237	313.4	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	0.86 0.99 1.11
r03-C	C	3	4549	0	53	ac06a64cbe87a9b9	14403	12032	5	0	5	286.8	2				0.88 1.01 1.12
r03-D	D	3	26083	0	6036	e227d077c50b5851	15650	15104	1233	0	1233	305.9	5887	5a34cbad4cffc107	5a34cbad4cffc107	true	0.89 0.99 1.11
r03-E	E	3	25358	0	2441	0726494fb55c0973	15621	14080	1237	32	1269	280.8	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	0.78 0.96 1.09
r04-B	B	4	25689	0	126	d1378c2054ad4458	14423	14080	1229	24	1253	299.8	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	0.76 0.95 1.08
r04-C	C	4	4492	0	53	ac06a64cbe87a9b9	14403	9984	5	0	5	312.3	2				0.87 0.98 1.10
r04-D	D	4	26856	0	6003	886cd3b77da046fc	15650	14080	1233	0	1233	344.3	5854	734e43f8b23e3300	734e43f8b23e3300	true	0.76 0.94 1.07
r04-E	E	4	26473	0	2441	0726494fb55c0973	15621	14080	1203	0	1203	345.3	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	0.89 0.96 1.08
r05-B	B	5	26705	0	126	d1378c2054ad4458	14423	12032	1237	32	1269	317.0	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	1.21 1.03 1.10
r05-C	C	5	3730	0	53	ac06a64cbe87a9b9	14403	14080	5	0	5	322.3	2				0.82 0.94 1.07
r05-D	D	5	26906	0	5929	25f7b67f36c22748	15650	14080	1233	0	1233	290.7	5780	76ee739bd4853f2d	76ee739bd4853f2d	true	1.03 0.99 1.08
r05-E	E	5	26889	0	2441	0726494fb55c0973	15621	14080	1203	0	1203	253.3	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	0.83 0.95 1.06
r06-B	B	6	25526	0	126	d1378c2054ad4458	14423	14080	1218	13	1231	359.9	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	0.85 0.94 1.06
r06-C	C	6	3497	0	53	ac06a64cbe87a9b9	14403	14080	5	0	5	331.6	2				0.84 0.95 1.06
r06-D	D	6	26611	0	6047	473051d618fd3966	15650	12032	1233	0	1233	243.3	5898	f520ab28c4dfd2b2	f520ab28c4dfd2b2	true	1.03 0.97 1.07
r06-E	E	6	26558	0	2441	0726494fb55c0973	15621	12032	1203	0	1203	314.1	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	1.01 0.98 1.06
r07-B	B	7	25985	0	126	d1378c2054ad4458	14423	9984	1227	22	1249	321.6	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	1.08 0.99 1.07
r07-C	C	7	3610	0	53	ac06a64cbe87a9b9	14403	14080	5	0	5	337.6	2				0.93 0.96 1.06
r07-D	D	7	26994	0	5957	680d3b9867205066	15650	14080	1233	0	1233	302.7	5808	2e9d9b1fe22eff19	2e9d9b1fe22eff19	true	0.97 0.98 1.06
r07-E	E	7	26021	0	2441	0726494fb55c0973	15621	14080	1239	34	1273	363.9	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	1.05 1.00 1.06
r08-B	B	8	25532	0	126	d1378c2054ad4458	14423	14080	1222	17	1239	262.9	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	1.05 1.00 1.06
r08-C	C	8	3854	0	53	ac06a64cbe87a9b9	14403	14080	5	0	5	314.7	2				0.97 0.98 1.06
r08-D	D	8	25845	0	6068	34c7580ce62327ed	15650	14080	1233	0	1233	299.6	5919	32d4d3b3f2c96dcf	32d4d3b3f2c96dcf	true	0.96 0.98 1.05
r08-E	E	8	25177	0	2441	0726494fb55c0973	15621	14080	1203	0	1203	301.1	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	0.98 0.99 1.05
r09-B	B	9	25742	0	126	d1378c2054ad4458	14423	14080	1218	13	1231	303.9	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	1.94 1.24 1.14
r09-C	C	9	4562	0	53	ac06a64cbe87a9b9	14403	14080	5	0	5	290.5	2				1.14 1.02 1.06
r09-D	D	9	25367	0	6004	d67bc7ff124be842	15650	14080	1233	0	1233	305.8	5855	2e47aa4bf15dcdc6	2e47aa4bf15dcdc6	true	3.19 1.58 1.25
r09-E	E	9	25727	0	2441	0726494fb55c0973	15621	9984	1203	0	1203	340.2	2291	1c5f11cf6922070f	1c5f11cf6922070f	true	2.54 1.55 1.25
