episode	arm	environment_valid	semantic_correct	route_adherent	payload_bytes	payload_tokens	wall_seconds	turns_to_success	retries	provider_output_tokens
1	N	False	False	False	0	0	0.071664	None	None	None
2	S	False	False	False	0	0	0.086525	None	None	None
3	S	False	False	False	0	0	0.089085	None	None	None
4	N	False	False	False	0	0	0.078106	None	None	None
5	S	False	False	False	0	0	0.091378	None	None	None
6	N	False	False	False	0	0	0.087452	None	None	None
7	N	False	False	False	0	0	0.078533	None	None	None
8	S	False	False	False	0	0	0.083943	None	None	None
9	N	False	False	False	0	0	0.081653	None	None	None
10	S	False	False	False	0	0	0.081431	None	None	None
11	S	False	False	False	0	0	0.083445	None	None	None
12	N	False	False	False	0	0	0.084173	None	None	None
