index	elapsed_ms
0	9.931625
1	1.792583
2	1.902875
3	1.287833
4	0.726333
5	0.742334
6	1.006125
7	1.094875
8	0.684541
9	0.417875
10	0.573083
11	1.289834
12	1.352584
13	1.872792
14	1.125334
15	1.451291
16	0.437291
17	0.465083
18	0.385292
19	0.342375
20	0.368125
21	0.855041
22	0.46425
23	0.6185
24	1.831917
25	1.062333
26	0.752292
27	0.831833
28	0.895958
29	0.738167
30	0.877417
31	1.013625
32	0.343875
33	0.511
34	0.293709
35	0.343875
36	0.297625
37	0.247417
38	0.415541
39	0.420875
40	0.581708
41	0.270209
42	0.669333
43	2.353125
44	0.545917
45	0.462583
46	1.84475
47	0.5905
48	0.514167
49	0.901708
50	0.790459
51	0.606334
52	0.650042
53	0.712042
54	0.477708
55	0.662458
56	0.414958
57	0.308917
58	0.479083
59	0.626917
60	0.390708
61	0.299042
62	0.31975
63	0.27125
64	3.373167
65	0.32875
66	0.3015
67	0.316125
68	0.248583
69	0.258167
70	0.355208
71	0.276875
72	0.296125
73	0.316292
74	0.299416
75	0.2755
76	0.438583
77	0.311625
78	0.261375
79	0.300042
80	0.274917
81	0.274791
82	0.463917
83	0.244583
84	0.281584
85	0.323292
86	0.233667
87	0.224416
88	0.302208
89	0.281833
90	0.26575
91	0.228
92	0.245709
93	0.327667
94	0.304958
95	0.22075
96	0.490958
97	0.270209
98	0.293167
99	0.251708
100	0.264417
101	0.360625
102	0.243333
103	0.334875
104	0.305833
105	0.315334
106	0.23125
107	0.361833
108	0.513667
109	0.369292
110	0.276167
111	0.329417
112	0.224333
113	0.312833
114	0.393166
115	0.523375
116	0.450709
117	0.22025
118	0.258417
119	0.1885
120	0.334584
121	0.28875
122	0.226542
123	0.668917
124	0.285792
125	0.216375
126	0.23625
127	1.82475
128	0.84425
129	0.650791
130	0.5555
131	1.009166
132	0.711416
133	0.616709
134	0.371958
135	0.405
136	0.642667
137	0.61825
138	0.559292
139	0.316375
140	0.236291
141	0.283458
142	0.249625
143	0.25075
144	0.685333
145	0.280875
146	0.299792
147	0.233208
148	0.264625
149	0.239875
150	0.257667
151	0.74625
152	0.608458
153	0.491667
154	0.525917
155	0.593292
156	0.496292
157	0.445166
158	0.515917
159	0.330083
160	0.302583
161	0.277542
162	0.224125
163	0.249417
164	0.224625
165	0.230833
166	0.37575
167	0.474958
168	0.325458
169	0.569792
170	0.317416
171	0.230958
172	0.304166
173	0.221167
174	0.258083
175	0.281292
176	0.276541
177	0.27775
178	0.302167
179	0.227125
180	0.270125
181	0.244834
182	0.270458
183	0.26275
184	0.28975
185	0.196292
186	0.2535
187	0.185084
188	0.198792
189	0.205666
190	0.229916
191	0.216583
192	0.243667
193	0.253625
194	0.340042
195	0.237834
196	0.276
197	0.303
198	0.263292
199	0.210084
200	0.295042
201	0.305458
202	0.248292
203	0.2315
204	0.211625
205	0.182416
206	0.230292
207	0.220083
208	0.296167
209	0.215
210	0.208375
211	0.261375
212	0.21675
213	0.225458
214	0.240667
215	0.201833
216	0.255708
217	0.252375
218	0.2025
219	0.2175
220	0.268
221	0.184875
222	0.179541
223	0.249917
