arm	block	position	elapsed_ms
off	0	0	10.780208
off	0	1	16.680625
off	0	2	5.857167
off	0	3	4.568833
off	0	4	3.92225
off	0	5	3.549666
off	0	6	3.69
off	0	7	4.140125
off	0	8	5.73075
off	0	9	3.952375
off	0	10	4.075125
off	0	11	5.562875
off	0	12	4.401417
off	0	13	4.082
off	0	14	4.127958
off	0	15	4.609583
off	0	16	4.024625
off	0	17	2.911875
off	0	18	4.128167
off	0	19	4.10075
off	0	20	3.8205
off	0	21	4.072375
off	0	22	3.852375
off	0	23	4.596709
off	0	24	4.351375
off	0	25	4.120125
off	0	26	3.790417
off	0	27	4.775542
off	0	28	4.715
off	0	29	4.180833
off	0	30	6.24
off	0	31	3.797958
off	0	32	3.783084
off	0	33	3.934083
off	0	34	3.416416
off	0	35	5.486625
off	0	36	3.1515
off	0	37	2.484292
off	0	38	2.867291
off	0	39	5.645833
off	0	40	4.73625
off	0	41	4.535417
off	0	42	4.33275
off	0	43	4.624125
off	0	44	4.031125
off	0	45	6.097167
off	0	46	3.382709
off	0	47	3.577625
off	0	48	2.847542
off	0	49	2.692416
on	0	0	11.46325
on	0	1	8.54075
on	0	2	8.236042
on	0	3	5.793792
on	0	4	8.860792
on	0	5	9.341833
on	0	6	9.306209
on	0	7	6.294208
on	0	8	5.019292
on	0	9	6.668167
on	0	10	6.026208
on	0	11	5.424458
on	0	12	7.866125
on	0	13	9.17725
on	0	14	9.766875
on	0	15	5.440416
on	0	16	9.429375
on	0	17	9.672416
on	0	18	8.279625
on	0	19	5.355959
on	0	20	5.406625
on	0	21	5.089417
on	0	22	4.340125
on	0	23	5.73275
on	0	24	8.521125
on	0	25	7.282958
on	0	26	6.366
on	0	27	7.899042
on	0	28	7.701042
on	0	29	6.103041
on	0	30	5.623791
on	0	31	5.910333
on	0	32	5.477209
on	0	33	5.185166
on	0	34	4.694458
on	0	35	10.333042
on	0	36	6.099542
on	0	37	4.603667
on	0	38	4.466958
on	0	39	6.693791
on	0	40	5.511666
on	0	41	8.562833
on	0	42	6.661166
on	0	43	4.488042
on	0	44	4.96825
on	0	45	5.138625
on	0	46	4.589541
on	0	47	10.709125
on	0	48	5.071667
on	0	49	5.454709
on	1	0	3.150083
on	1	1	3.99425
on	1	2	3.387916
on	1	3	3.655084
on	1	4	4.325917
on	1	5	4.524167
on	1	6	4.00375
on	1	7	6.893667
on	1	8	4.479208
on	1	9	3.233667
on	1	10	2.758292
on	1	11	3.331666
on	1	12	3.787125
on	1	13	4.37
on	1	14	3.279625
on	1	15	3.632583
on	1	16	4.485875
on	1	17	5.301375
on	1	18	3.824708
on	1	19	4.776458
on	1	20	4.584875
on	1	21	4.264208
on	1	22	3.751792
on	1	23	3.252917
on	1	24	3.761666
on	1	25	3.871791
on	1	26	3.5285
on	1	27	4.230208
on	1	28	3.91175
on	1	29	4.018291
on	1	30	3.919458
on	1	31	5.313833
on	1	32	4.1585
on	1	33	3.611333
on	1	34	4.382292
on	1	35	4.870083
on	1	36	7.456083
on	1	37	4.587458
on	1	38	3.816708
on	1	39	3.595667
on	1	40	3.967875
on	1	41	3.695375
on	1	42	3.397041
on	1	43	4.558208
on	1	44	6.17425
on	1	45	5.404042
on	1	46	4.587792
on	1	47	5.040375
on	1	48	4.367583
on	1	49	3.549083
off	1	0	2.685375
off	1	1	5.601625
off	1	2	3.506542
off	1	3	2.551667
off	1	4	2.230917
off	1	5	2.451917
off	1	6	3.478291
off	1	7	3.786042
off	1	8	3.275375
off	1	9	3.4845
off	1	10	2.519583
off	1	11	4.056666
off	1	12	3.810959
off	1	13	3.488208
off	1	14	2.201958
off	1	15	1.843208
off	1	16	2.007792
off	1	17	1.938375
off	1	18	1.861
off	1	19	2.264458
off	1	20	2.1295
off	1	21	3.323542
off	1	22	3.241917
off	1	23	2.037416
off	1	24	2.523666
off	1	25	2.365458
off	1	26	2.130958
off	1	27	2.017792
off	1	28	2.124291
off	1	29	1.645584
off	1	30	2.091916
off	1	31	1.862958
off	1	32	3.227833
off	1	33	3.120791
off	1	34	3.004459
off	1	35	2.227833
off	1	36	2.385
off	1	37	3.07175
off	1	38	2.690542
off	1	39	3.042708
off	1	40	2.702292
off	1	41	2.551458
off	1	42	2.501417
off	1	43	6.827667
off	1	44	3.573125
off	1	45	3.422958
off	1	46	2.669542
off	1	47	5.121791
off	1	48	4.516417
off	1	49	2.769375
