index	elapsed_ms
0	20.689167
1	1.002208
2	0.438083
3	0.416125
4	0.466459
5	0.43825
6	0.428792
7	0.664667
8	0.36625
9	0.439792
10	0.345917
11	0.499792
12	0.412125
13	0.437459
14	0.277917
15	0.294083
16	0.253583
17	0.427542
18	0.275542
19	0.259208
20	0.331666
21	0.232708
22	0.231542
23	0.186958
24	0.124291
25	0.126709
26	0.114583
27	0.111459
28	0.158292
29	0.11925
30	0.115042
31	0.117541
32	0.143875
33	0.14525
34	0.12925
35	0.115042
36	0.335458
37	0.113667
38	0.110834
39	0.11425
40	0.107208
41	0.135458
42	0.132583
43	0.108625
44	0.249125
45	0.110083
46	0.105459
47	0.109458
48	0.102041
49	0.101292
50	0.102583
51	0.109166
52	0.104666
53	0.106833
54	0.10675
55	0.151417
56	0.101792
57	0.105916
58	0.317292
59	0.227625
60	0.125958
61	0.108625
62	0.122416
63	0.719583
64	0.216708
65	0.102958
66	0.1165
67	0.111625
68	0.136583
69	0.223125
70	0.112166
71	0.108417
72	0.099166
73	0.096167
74	0.096792
75	0.093542
76	0.189083
77	0.111958
78	0.09725
79	0.093
80	0.089791
81	0.089625
82	0.088667
83	0.091791
84	0.091833
85	0.096
86	0.090958
87	0.229542
88	0.12225
89	0.102417
90	0.139667
91	0.103625
92	0.093084
93	0.093708
94	0.096416
95	0.183625
96	0.097458
97	0.099041
98	0.199125
99	0.109167
100	0.094167
101	0.093
102	0.158166
103	0.093333
104	0.091375
105	0.08825
106	0.086375
107	0.089583
108	0.087292
109	0.089541
110	0.087166
111	0.102792
112	0.096083
113	0.087375
114	0.115833
115	0.083958
116	0.366416
117	0.241792
118	0.083208
119	0.078458
120	0.073583
121	0.099458
122	0.071875
123	0.074875
124	0.091583
125	0.069875
126	0.073166
127	0.106667
128	0.16525
129	0.101209
130	0.087708
131	0.075666
132	0.149125
133	0.081708
134	0.072834
135	0.073417
136	0.070458
137	0.069
138	0.129042
139	0.089083
140	0.075
141	0.074125
142	0.1185
143	0.089459
144	0.280167
145	0.273208
146	0.189709
147	0.191042
148	0.106708
149	0.07675
150	0.071875
151	0.072208
152	0.067166
153	0.092125
154	0.0825
155	0.072584
156	0.068959
157	0.067167
158	0.098791
159	0.239291
160	0.226709
161	0.190583
162	0.137583
163	0.0885
164	0.09825
165	0.075792
166	0.0665
167	0.089291
