index	elapsed_ms
0	7.799333
1	1.248125
2	0.779792
3	0.912541
4	0.643084
5	0.52475
6	1.24675
7	0.417875
8	0.41875
9	0.375541
10	0.396416
11	1.087042
12	0.432625
13	0.363375
14	0.703542
15	0.408125
16	0.72725
17	1.258167
18	0.510959
19	0.401125
20	0.316541
21	0.3035
22	0.3095
23	0.284333
24	0.586541
25	0.353458
26	0.305834
27	0.353209
28	0.479625
29	0.283708
30	0.288708
31	0.284584
32	0.265708
33	0.266042
34	0.2435
35	0.374083
36	0.308166
37	0.281625
38	0.231833
39	0.229625
40	0.275125
41	0.230166
42	0.25475
43	0.2175
44	0.377208
45	0.403042
46	0.268791
47	0.222041
48	0.254958
49	0.261083
50	0.363125
51	0.282667
52	0.278375
53	0.247417
54	0.342667
55	0.227291
56	0.315208
57	0.250917
58	0.301917
59	0.240416
60	0.233792
61	0.219667
62	0.313292
63	0.331375
64	0.26175
65	0.864583
66	0.606417
67	0.541084
68	0.477584
69	0.2935
70	0.258959
71	0.264208
72	0.274791
73	0.256417
74	0.252917
75	0.215459
76	0.25875
77	0.196541
78	0.307666
79	0.244792
80	0.227584
81	0.243375
82	0.280834
83	0.242708
84	0.368458
85	0.248708
86	0.241375
87	0.295083
88	0.218167
89	0.222833
90	0.248875
91	0.202666
92	0.205
93	0.212417
94	0.21175
95	0.175334
96	0.401208
97	0.446917
98	0.254292
99	0.204958
100	0.238042
101	0.212959
102	0.274917
103	0.2125
104	0.260583
105	0.178333
106	0.214125
107	0.19575
108	0.204833
109	0.187459
110	0.219917
111	0.188541
112	0.22225
113	0.19375
114	0.199208
115	0.2095
116	0.219917
117	0.68275
118	0.289
119	0.203834
120	0.199209
121	0.223083
122	0.290875
123	0.223917
124	0.25225
125	0.184
126	0.247042
127	0.815166
128	0.267666
129	0.273417
130	0.208375
131	0.178542
132	0.233875
133	0.181208
134	0.18875
135	0.231875
136	0.189584
137	0.173458
138	0.283708
139	0.228458
140	0.206042
141	0.228334
142	0.209667
143	0.243417
144	0.19925
145	0.201583
146	0.272083
147	0.188042
148	0.201833
149	0.212709
150	0.194375
151	0.17925
152	0.284458
153	0.175583
154	0.460292
155	0.245666
