arm	block	position	elapsed_ms
off	0	0	9.108208
off	0	1	8.491917
off	0	2	6.381708
off	0	3	4.556
off	0	4	4.11975
off	0	5	5.549042
off	0	6	3.713167
off	0	7	4.172792
off	0	8	4.707416
off	0	9	4.971917
off	0	10	4.579042
off	0	11	3.982833
off	0	12	3.852208
off	0	13	4.613917
off	0	14	3.648666
off	0	15	3.135959
off	0	16	3.384792
off	0	17	3.311083
off	0	18	4.633917
off	0	19	3.724042
off	0	20	3.463042
off	0	21	13.039375
off	0	22	6.8955
off	0	23	7.564458
off	0	24	12.346708
off	0	25	21.102792
off	0	26	6.403708
off	0	27	5.057208
off	0	28	4.40675
off	0	29	4.838667
off	0	30	7.422958
off	0	31	7.484417
off	0	32	7.969
off	0	33	4.740875
off	0	34	3.785125
off	0	35	4.183625
off	0	36	3.109417
off	0	37	3.476208
off	0	38	3.645542
off	0	39	3.147834
off	0	40	4.050708
off	0	41	5.4665
off	0	42	3.713583
off	0	43	3.435708
off	0	44	2.745416
off	0	45	3.342875
off	0	46	4.147458
off	0	47	4.153583
off	0	48	2.563041
off	0	49	2.767291
on	0	0	7.408292
on	0	1	6.793667
on	0	2	7.746458
on	0	3	6.157083
on	0	4	10.411333
on	0	5	6.462417
on	0	6	5.943291
on	0	7	6.103167
on	0	8	9.779125
on	0	9	7.885834
on	0	10	9.619708
on	0	11	6.545417
on	0	12	4.3155
on	0	13	7.118209
on	0	14	5.353417
on	0	15	4.139209
on	0	16	4.600708
on	0	17	5.098583
on	0	18	4.957542
on	0	19	7.174583
on	0	20	5.202625
on	0	21	4.543667
on	0	22	8.660583
on	0	23	5.305708
on	0	24	4.503334
on	0	25	5.675958
on	0	26	4.59375
on	0	27	3.7855
on	0	28	3.656709
on	0	29	8.665666
on	0	30	5.726084
on	0	31	5.625833
on	0	32	4.065167
on	0	33	3.610375
on	0	34	2.8125
on	0	35	4.875042
on	0	36	5.086208
on	0	37	5.247166
on	0	38	5.861333
on	0	39	12.512833
on	0	40	5.46825
on	0	41	4.390375
on	0	42	3.664542
on	0	43	3.210792
on	0	44	3.196917
on	0	45	4.871459
on	0	46	4.412333
on	0	47	3.768166
on	0	48	3.767333
on	0	49	5.665417
on	1	0	3.57275
on	1	1	4.049917
on	1	2	4.041542
on	1	3	2.935208
on	1	4	2.439
on	1	5	2.71475
on	1	6	3.107875
on	1	7	2.778083
on	1	8	3.374166
on	1	9	2.917875
on	1	10	2.505125
on	1	11	2.912708
on	1	12	3.618208
on	1	13	2.853416
on	1	14	2.882666
on	1	15	2.584833
on	1	16	2.705625
on	1	17	2.469125
on	1	18	3.533125
on	1	19	3.27075
on	1	20	3.461875
on	1	21	4.793625
on	1	22	3.563708
on	1	23	4.31525
on	1	24	2.851625
on	1	25	2.609542
on	1	26	2.852625
on	1	27	2.818709
on	1	28	3.087166
on	1	29	2.522583
on	1	30	3.342625
on	1	31	3.877542
on	1	32	3.028208
on	1	33	3.390459
on	1	34	2.708791
on	1	35	3.065375
on	1	36	2.736875
on	1	37	2.80675
on	1	38	2.748666
on	1	39	3.0395
on	1	40	3.290334
on	1	41	4.033541
on	1	42	2.978958
on	1	43	4.648
on	1	44	3.188958
on	1	45	4.007583
on	1	46	3.193333
on	1	47	2.742417
on	1	48	3.008584
on	1	49	3.127166
off	1	0	1.677583
off	1	1	1.53675
off	1	2	1.945667
off	1	3	2.344458
off	1	4	3.222375
off	1	5	2.06825
off	1	6	1.819209
off	1	7	1.99075
off	1	8	2.122833
off	1	9	1.97975
off	1	10	1.879542
off	1	11	4.449792
off	1	12	2.829333
off	1	13	3.691958
off	1	14	2.217916
off	1	15	1.916291
off	1	16	1.853625
off	1	17	1.565709
off	1	18	1.436042
off	1	19	1.477833
off	1	20	1.656708
off	1	21	3.003292
off	1	22	2.06975
off	1	23	2.097541
off	1	24	1.673792
off	1	25	1.624209
off	1	26	1.685125
off	1	27	1.820959
off	1	28	1.686042
off	1	29	1.674625
off	1	30	1.917375
off	1	31	1.977208
off	1	32	1.60375
off	1	33	1.427541
off	1	34	1.433042
off	1	35	2.034084
off	1	36	1.542083
off	1	37	1.501625
off	1	38	1.98225
off	1	39	3.060375
off	1	40	2.14075
off	1	41	2.049458
off	1	42	2.004625
off	1	43	3.181666
off	1	44	2.147833
off	1	45	5.149542
off	1	46	3.852375
off	1	47	2.371542
off	1	48	2.982875
off	1	49	2.854583
