index	elapsed_ms
0	17.020125
1	0.581666
2	1.437958
3	0.498333
4	0.419416
5	0.431125
6	0.419292
7	0.414583
8	0.630958
9	0.985917
10	0.337166
11	0.302958
12	0.293084
13	0.282667
14	0.27225
15	0.305542
16	0.314583
17	0.254917
18	0.245208
19	0.236917
20	0.225375
21	0.198792
22	0.102125
23	0.154459
24	0.134625
25	0.095542
26	0.091125
27	0.089125
28	0.248041
29	0.110083
30	0.102875
31	0.233583
32	0.12225
33	0.094209
34	0.170417
35	0.092
36	0.090042
37	0.08675
38	0.101292
39	0.08925
40	0.090584
41	0.086458
42	0.194666
43	0.254291
44	0.102916
45	0.084417
46	0.123459
47	0.106709
48	0.089042
49	0.093292
50	0.093833
51	0.088292
52	0.092417
53	0.087458
54	0.097292
55	0.105709
56	0.090333
57	0.086625
58	0.085458
59	0.083833
60	0.09175
61	0.090125
62	0.089917
63	1.195542
64	0.460667
65	0.239708
66	0.268541
67	0.272541
68	0.300417
69	0.247
70	0.242917
71	0.250667
72	0.232208
73	0.25275
74	0.23375
75	0.22325
76	0.26725
77	0.263125
78	0.2415
79	0.241417
80	0.306667
81	0.229083
82	0.229583
83	0.214125
84	0.21175
85	0.235125
86	0.141167
87	0.2335
88	0.236959
89	0.49825
90	0.225667
91	0.225334
92	0.231709
93	0.287334
94	0.256167
95	0.131709
96	0.113625
97	0.091833
98	0.0925
99	0.088709
100	0.089791
101	0.087
102	0.271917
103	0.273541
104	0.106917
105	0.10425
106	0.087916
107	0.09025
108	0.0895
109	0.084166
110	0.085666
111	0.086125
112	0.084709
113	0.0985
114	5.562917
115	0.124208
116	0.105833
117	0.089875
118	0.087083
119	0.083375
120	0.090375
121	0.088083
122	0.082375
123	0.084584
124	0.08375
125	0.081708
126	0.084375
127	0.142125
128	0.089167
129	0.090125
130	0.083958
131	0.079208
132	0.081708
133	0.108167
134	0.08275
135	0.078417
136	0.085708
137	0.079583
138	0.076583
139	0.195041
140	0.092416
141	0.083083
142	0.08825
143	0.105792
144	0.082041
145	0.080416
146	0.080125
147	0.079417
148	0.079333
149	0.111667
150	0.081292
151	0.077333
152	0.079958
153	0.087666
154	0.101458
155	0.07775
156	0.077542
157	0.077
158	0.235375
159	0.10175
160	0.0855
161	0.0795
162	0.08475
163	0.077083
164	0.07625
165	0.076417
166	0.0985
167	0.075667
168	0.076417
169	0.080083
170	0.087666
171	0.08575
172	0.100583
173	0.076917
174	0.075709
175	0.075584
176	0.075417
177	0.096458
178	0.077625
179	0.274875
180	0.090209
181	0.080833
182	0.07725
183	0.078333
184	0.088042
185	0.098375
186	0.123
187	0.325125
188	0.24575
189	0.181416
190	0.1875
191	0.201625
192	0.174417
193	0.386
194	0.152667
195	0.069958
196	0.068708
197	0.064208
198	0.093958
199	0.072167
200	0.065
201	0.067375
202	0.063292
203	0.063875
204	0.063875
205	0.118417
206	0.085291
207	0.065292
208	0.065084
209	0.063291
210	0.064583
211	0.06375
212	0.06425
213	0.088958
214	0.066708
215	0.065125
216	0.064083
217	0.126041
218	0.079708
219	0.0685
220	0.063875
221	0.069583
222	0.063875
223	0.065541
224	0.13875
225	0.075417
226	0.067333
227	0.084667
228	0.063667
229	0.068666
230	0.062875
231	0.062083
232	0.063042
233	0.065333
234	0.062459
235	0.088167
236	0.064333
237	0.300875
238	0.065416
239	0.076875
240	0.06375
241	0.087792
242	0.114917
243	0.064584
244	0.067541
245	0.063375
246	0.096041
247	0.140417
248	0.079542
249	0.134375
250	0.069625
251	0.161
252	0.213958
253	0.09675
254	0.075917
255	0.222125
256	0.268333
257	0.142
258	0.079916
259	0.069834
260	0.08825
261	0.064709
262	0.065333
263	0.068333
264	0.064917
265	0.070583
266	0.094625
267	0.063416
268	0.08375
269	0.063334
270	0.0635
271	0.065917
272	0.147875
273	0.068084
274	0.064291
275	0.096791
276	0.062417
277	0.073792
278	0.068834
279	0.067542
280	0.068459
281	0.064125
282	0.062417
283	0.061291
284	0.072958
285	0.062167
286	0.062542
287	0.069375
288	0.063709
289	0.061291
290	0.061958
291	0.06175
292	0.06075
293	0.065125
294	0.061166
295	0.074583
296	0.061084
297	0.087917
298	0.064833
299	0.062334
300	0.060875
301	0.062292
302	0.062375
303	0.062875
304	0.062625
305	0.061917
306	0.080292
307	0.062917
308	0.061291
309	0.061541
310	0.061166
311	0.061333
312	0.063958
313	0.069125
314	0.062667
315	0.062084
316	0.100042
317	0.061375
318	0.062209
319	0.084417
320	0.2485
321	0.261542
322	0.12475
323	0.068833
324	0.065208
325	0.092666
326	0.06175
327	0.076625
328	0.063208
329	0.063959
330	0.061833
331	0.062333
332	0.110167
333	0.062333
334	0.064416
335	0.073917
336	0.060583
337	0.06025
338	0.076959
339	0.062042
340	0.059542
341	0.069375
342	0.3915
343	0.132209
344	0.095458
345	0.064417
346	0.059334
347	0.059792
348	0.141458
349	0.391
350	0.07525
351	0.063833
352	0.084375
353	0.059917
354	0.059167
355	0.059417
356	0.06075
357	0.059291
358	0.079833
359	0.058708
360	0.060125
361	0.061042
362	0.0595
363	0.060042
364	0.063584
365	0.083
366	0.14525
367	0.069792
368	0.069625
369	0.059958
370	0.059666
371	0.060583
372	0.081542
373	0.060667
374	0.059667
375	0.059125
376	0.059958
377	0.066417
378	0.058584
379	0.116125
380	0.246959
381	0.104666
382	0.104625
383	0.076334
384	0.062125
385	0.064959
386	0.066709
387	0.065792
388	0.084541
389	0.06325
390	0.06225
391	0.060334
392	0.084875
393	0.062417
394	0.058708
395	0.059459
396	0.0575
397	0.067333
398	0.060083
399	0.077833
400	0.069041
401	0.058333
