index	elapsed_ms
0	8.10225
1	1.484042
2	0.946083
3	0.632667
4	0.486041
5	0.779917
6	0.704917
7	0.394792
8	0.42975
9	0.566791
10	1.251125
11	1.21275
12	1.758041
13	1.476875
14	1.025584
15	0.495667
16	0.363584
17	0.425209
18	0.838625
19	0.320292
20	0.37875
21	0.274625
22	0.317125
23	0.276792
24	0.3295
25	0.411125
26	0.469416
27	0.321583
28	0.395041
29	0.360333
30	0.574625
31	0.364833
32	0.295
33	0.29225
34	0.256916
35	0.316875
36	0.4445
37	0.280667
38	0.270666
39	0.263
40	0.280417
41	0.249291
42	0.27475
43	0.226833
44	0.242208
45	0.268625
46	0.229
47	0.228666
48	0.266042
49	0.76275
50	0.6425
51	0.283125
52	0.253125
53	0.273
54	0.243542
55	0.218083
56	0.35275
57	0.723458
58	0.310792
59	0.2785
60	0.253333
61	0.222667
62	0.278625
63	0.29825
64	0.331458
65	0.260791
66	0.266125
67	0.248583
68	0.2255
69	0.252666
70	0.248583
71	0.22
72	0.223125
73	0.936208
74	0.285791
75	0.335667
76	0.350333
77	0.462708
78	0.27325
79	0.308792
80	0.242667
81	0.257
82	0.357667
83	0.273833
84	0.270333
85	0.211042
86	0.223125
87	0.227625
88	0.295209
89	0.205125
90	0.236667
91	0.210959
92	0.211417
93	0.218791
94	0.237625
95	0.19375
96	0.226584
97	0.209625
98	0.23375
99	0.194125
100	0.29275
101	0.301125
102	0.395167
103	0.7945
104	0.711584
105	0.533041
106	0.500917
107	0.565333
108	0.61425
109	0.483834
110	0.569833
111	0.281125
112	0.25825
113	0.227875
114	0.236917
115	0.2385
116	0.219625
117	0.219875
118	0.222083
119	0.213417
120	0.221959
121	0.3645
122	0.232875
123	0.192917
124	0.349875
125	0.412417
126	0.264125
127	0.775375
128	0.233334
129	0.260875
130	0.291917
131	0.258209
132	0.409042
133	0.195958
134	0.288167
135	0.230166
136	0.194583
137	0.185459
138	0.27275
139	0.21025
140	0.216208
141	0.214
142	0.230708
143	0.20325
144	0.19575
145	0.209916
146	0.212416
147	0.177875
148	0.232625
149	0.194708
150	0.216875
151	0.240958
152	0.213292
153	0.175334
154	0.193209
155	0.197417
156	0.216833
157	0.172583
158	0.243833
159	0.193292
160	0.2285
161	0.171042
162	0.187083
163	0.234084
164	0.717042
165	0.743625
166	0.566167
167	0.561708
168	0.40575
169	0.2725
170	0.526167
171	0.2695
172	0.253375
173	0.215333
174	0.208167
175	0.251417
176	0.21225
177	0.212917
178	0.208541
179	0.220083
180	0.258292
181	0.303667
182	0.227041
183	0.268834
184	0.214541
185	0.62625
