arm	block	position	elapsed_ms
off	0	0	6.709333
off	0	1	6.098542
off	0	2	6.810875
off	0	3	5.673834
off	0	4	4.273917
off	0	5	4.600333
off	0	6	4.921167
off	0	7	4.190208
off	0	8	4.107583
off	0	9	4.240083
off	0	10	3.638209
off	0	11	4.381458
off	0	12	3.636083
off	0	13	3.743625
off	0	14	3.260125
off	0	15	4.050625
off	0	16	5.810958
off	0	17	4.993
off	0	18	4.761917
off	0	19	3.894917
off	0	20	6.393709
off	0	21	4.008375
off	0	22	3.831708
off	0	23	4.857208
off	0	24	4.348084
off	0	25	4.25075
off	0	26	5.075416
off	0	27	5.666125
off	0	28	4.241917
off	0	29	3.657041
off	0	30	3.445
off	0	31	3.623916
off	0	32	4.101
off	0	33	4.00275
off	0	34	3.555375
off	0	35	5.1955
off	0	36	3.5585
off	0	37	3.590541
off	0	38	3.211042
off	0	39	2.986458
off	0	40	4.212333
off	0	41	4.590667
off	0	42	3.939917
off	0	43	2.926459
off	0	44	3.654333
off	0	45	3.82475
off	0	46	3.314459
off	0	47	2.894
off	0	48	3.044167
off	0	49	3.562292
on	0	0	6.780833
on	0	1	5.661125
on	0	2	9.578042
on	0	3	6.467083
on	0	4	5.305833
on	0	5	4.603333
on	0	6	5.26375
on	0	7	5.26275
on	0	8	5.143
on	0	9	7.667667
on	0	10	5.359416
on	0	11	3.977417
on	0	12	4.860959
on	0	13	5.092875
on	0	14	4.017833
on	0	15	10.299
on	0	16	6.5255
on	0	17	3.946041
on	0	18	3.353791
on	0	19	3.696791
on	0	20	5.095917
on	0	21	4.555625
on	0	22	5.409291
on	0	23	5.449833
on	0	24	4.716875
on	0	25	5.875042
on	0	26	4.574708
on	0	27	3.276042
on	0	28	3.519375
on	0	29	4.259084
on	0	30	3.961709
on	0	31	3.697708
on	0	32	3.396708
on	0	33	4.201334
on	0	34	3.918625
on	0	35	3.734125
on	0	36	3.6345
on	0	37	4.524625
on	0	38	3.798875
on	0	39	3.761708
on	0	40	3.206417
on	0	41	3.58925
on	0	42	3.83325
on	0	43	4.663417
on	0	44	3.662375
on	0	45	3.177625
on	0	46	3.644875
on	0	47	5.33425
on	0	48	4.467958
on	0	49	8.727042
on	1	0	3.792833
on	1	1	6.100708
on	1	2	4.112875
on	1	3	2.947708
on	1	4	2.979917
on	1	5	2.856209
on	1	6	2.745333
on	1	7	2.702125
on	1	8	2.73725
on	1	9	2.452334
on	1	10	2.929916
on	1	11	3.194083
on	1	12	3.294417
on	1	13	3.206833
on	1	14	3.214792
on	1	15	2.505167
on	1	16	2.85775
on	1	17	3.464417
on	1	18	3.191625
on	1	19	3.42675
on	1	20	7.311917
on	1	21	3.775208
on	1	22	3.664791
on	1	23	3.213
on	1	24	2.720041
on	1	25	2.916375
on	1	26	4.8945
on	1	27	4.677416
on	1	28	3.789958
on	1	29	5.308292
on	1	30	6.977541
on	1	31	5.978375
on	1	32	5.291542
on	1	33	4.141583
on	1	34	3.52925
on	1	35	2.780083
on	1	36	2.588291
on	1	37	3.119708
on	1	38	2.93625
on	1	39	3.19625
on	1	40	2.674333
on	1	41	2.494292
on	1	42	2.722959
on	1	43	3.279625
on	1	44	3.031834
on	1	45	2.960875
on	1	46	2.432875
on	1	47	2.398083
on	1	48	2.592041
on	1	49	3.462875
off	1	0	2.092667
off	1	1	2.646875
off	1	2	3.620833
off	1	3	2.173125
off	1	4	2.200834
off	1	5	1.671209
off	1	6	1.844
off	1	7	1.957
off	1	8	1.942458
off	1	9	1.694084
off	1	10	1.541292
off	1	11	2.106083
off	1	12	1.944084
off	1	13	1.919667
off	1	14	1.73525
off	1	15	1.734833
off	1	16	2.251333
off	1	17	1.694041
off	1	18	1.630125
off	1	19	1.911083
off	1	20	1.701667
off	1	21	3.123042
off	1	22	4.262125
off	1	23	2.33125
off	1	24	2.190875
off	1	25	1.933416
off	1	26	2.217708
off	1	27	1.96675
off	1	28	1.611458
off	1	29	1.785834
off	1	30	2.067375
off	1	31	2.71075
off	1	32	2.100125
off	1	33	1.616625
off	1	34	1.518875
off	1	35	1.870458
off	1	36	1.480917
off	1	37	1.551459
off	1	38	1.961167
off	1	39	2.309625
off	1	40	2.177875
off	1	41	2.507292
off	1	42	1.96875
off	1	43	2.521583
off	1	44	1.872334
off	1	45	2.415875
off	1	46	2.570667
off	1	47	2.029583
off	1	48	1.95125
off	1	49	1.711416
