index	elapsed_ms
0	19.634375
1	0.544458
2	0.463417
3	0.439666
4	0.419833
5	0.529417
6	0.441666
7	0.471875
8	0.393
9	0.399459
10	0.374291
11	0.38075
12	0.362917
13	0.36425
14	0.359292
15	0.450125
16	0.366709
17	0.355375
18	0.351959
19	0.348542
20	0.319375
21	0.3815
22	0.316041
23	0.310625
24	0.310792
25	0.28325
26	0.254375
27	0.25875
28	0.287959
29	0.205375
30	0.197458
31	0.225709
32	0.192083
33	0.1565
34	0.085375
35	0.098667
36	0.085209
37	0.080792
38	0.078417
39	0.078792
40	0.08
41	0.07975
42	0.092041
43	0.082459
44	0.079875
45	0.080375
46	0.076792
47	0.10475
48	0.097916
49	0.083417
50	0.116208
51	0.255416
52	0.107958
53	0.460458
54	0.093334
55	0.110625
56	0.098083
57	0.087708
58	0.0855
59	0.084375
60	0.082542
61	0.104292
62	0.084792
63	0.690333
64	0.117875
65	0.113541
66	0.085417
67	0.083125
68	0.080958
69	0.079584
70	0.086958
71	0.089291
72	0.085666
73	0.086584
74	0.080583
75	0.080417
76	0.086542
77	0.08475
78	0.084333
79	0.086708
80	0.098709
81	0.1
82	0.083833
83	0.084041
84	0.085084
85	0.102417
86	0.084458
87	0.082875
88	0.089917
89	0.087166
90	0.091375
91	0.095667
92	0.123875
93	0.09175
94	0.090333
95	0.094917
96	0.089417
97	0.091791
98	0.104083
99	0.120042
100	0.088375
101	0.100125
102	0.102459
103	0.097208
104	0.095125
105	0.110083
106	0.092125
107	0.102375
108	0.105709
109	0.102125
110	0.102625
111	0.0975
112	0.097375
113	0.10225
114	0.095625
115	0.095041
116	0.095542
117	0.104125
118	0.238584
119	0.092541
120	0.093292
121	0.091375
122	0.090042
123	0.090625
124	0.093417
125	0.095208
126	0.112833
127	0.179875
128	0.104333
129	0.091708
130	0.093458
131	0.099875
132	0.089583
133	0.096667
134	0.088042
135	0.08675
136	0.087917
137	0.09125
138	0.090958
139	0.088916
140	0.225917
141	0.093375
142	0.090667
143	0.091584
144	0.083958
145	0.085916
146	0.083375
147	0.111083
148	0.08175
149	0.081917
150	0.08075
151	0.08025
152	0.091083
153	0.080167
154	0.080542
155	0.082834
156	0.085042
157	0.081
158	0.087416
159	0.088125
160	0.078625
161	0.087542
162	0.077125
163	0.076041
164	0.08075
165	0.075375
166	0.077834
167	0.07575
168	0.113625
169	0.07425
170	0.074958
171	0.073583
172	0.076625
173	0.075084
174	0.073084
175	0.082333
176	0.073208
177	0.085584
178	0.218125
179	0.079833
180	0.074916
181	0.073042
182	0.083083
183	0.077584
184	0.077666
185	0.075167
186	0.073125
187	0.076708
188	0.072084
189	0.072541
190	0.074333
191	0.0955
192	0.075667
193	0.075417
194	0.073417
195	0.073125
196	0.07275
197	0.072417
198	0.072042
199	0.073041
200	0.073167
201	0.081209
202	0.073041
203	0.072542
204	0.07225
205	0.071209
206	0.072208
207	0.072708
208	0.083458
209	0.073083
210	0.073125
211	0.071542
212	0.075084
213	0.072208
214	0.078041
215	0.07475
216	0.093083
217	0.132958
218	0.09025
219	0.083
220	0.532375
221	0.479042
222	0.246084
223	0.089167
224	0.072375
225	0.071209
226	0.069
227	0.069709
228	0.075084
229	0.069084
230	0.074417
231	0.067917
232	0.067667
233	0.069542
234	0.067042
235	0.076833
236	0.071333
237	0.12875
238	0.077042
239	0.092916
240	0.071375
241	0.070083
242	0.07275
243	0.070083
244	0.07025
245	0.068
246	0.074167
247	0.068333
248	0.067333
249	0.066542
250	0.066667
251	0.068
252	0.066417
253	0.065125
254	0.075958
255	0.319583
256	0.258584
257	0.348417
258	0.078334
259	0.072958
260	0.067209
261	0.067625
262	0.067875
263	0.0655
264	0.065833
265	0.065959
266	0.064667
267	0.071958
268	0.065708
269	0.068209
270	0.068709
271	0.069583
272	0.065708
273	0.120417
274	0.074916
275	0.07375
276	0.068083
277	0.068
278	0.065375
279	0.065709
280	0.06475
281	0.067084
282	0.065709
283	0.067
284	0.064583
285	0.0645
286	0.066
287	0.065917
288	0.074458
289	0.065167
290	0.064792
291	0.067084
292	0.066375
293	0.065084
294	0.081125
295	0.065375
296	0.065041
297	0.066208
298	0.065292
299	0.065916
300	0.064333
301	0.064833
302	0.0645
303	0.066
304	0.065083
305	0.064459
306	0.707792
307	0.079292
308	0.066833
309	0.065958
310	0.068125
311	0.066208
312	0.064875
313	0.067541
314	0.065667
315	0.065959
316	0.0705
317	0.065041
318	0.105666
319	0.095
320	0.065667
321	0.06525
322	0.068375
323	0.066292
324	0.100791
325	0.06575
326	0.06525
327	0.145083
328	0.083542
329	0.072709
330	0.067541
331	0.071916
332	0.066916
333	0.065458
334	0.067
335	0.080125
336	0.067083
337	0.295791
338	0.082125
339	0.066833
340	0.063875
341	0.064625
342	0.0655
343	0.064917
344	0.191375
345	0.079209
346	0.073709
347	0.072833
348	0.064208
349	0.064292
350	0.062917
351	0.07
352	0.062833
353	0.062416
354	0.063292
355	0.062584
356	0.064458
357	0.063917
358	0.063334
359	0.061917
360	0.063875
361	0.063209
362	0.062459
363	0.062917
364	0.088958
365	0.063834
366	0.066375
367	0.062958
368	0.066292
369	0.060959
370	0.063709
371	0.061791
372	0.064458
373	0.059959
374	0.06125
375	0.061625
376	0.064125
377	0.06425
378	0.060667
379	0.060959
380	0.0595
381	0.084333
382	0.087792
383	0.074125
384	0.062917
385	0.060958
386	0.060375
387	0.060208
388	0.063125
389	0.059625
390	0.060916
391	0.061042
392	0.061375
393	0.062042
394	0.060958
395	0.151958
396	0.060917
397	0.060875
398	0.060917
399	0.060875
400	0.062583
401	0.182584
402	0.063583
403	0.061458
404	0.059791
405	0.06125
406	0.060041
407	0.059791
408	0.0595
409	0.060208
410	0.062041
411	0.15575
412	0.060541
413	0.05975
414	0.060333
415	0.060084
416	0.059542
417	0.065417
418	0.117
419	0.07925
420	0.068792
421	0.063792
422	0.157041
423	0.077709
424	0.067792
425	0.099125
426	0.0645
427	0.062334
428	0.062208
429	0.059542
430	0.2265
431	0.0825
432	0.068042
433	0.061875
434	0.061334
435	0.060125
436	0.059084
437	0.058625
438	0.059917
439	0.061208
440	0.06
441	0.085208
442	0.060042
443	0.059334
444	0.058208
445	0.058292
446	0.058416
447	0.083042
448	0.061667
449	0.059459
450	0.058792
451	0.060667
452	0.0645
453	0.058417
454	0.058458
455	0.059
456	0.058417
457	0.060666
458	0.059084
459	0.059042
460	0.058041
461	0.058416
462	0.059292
463	0.072541
464	0.059542
465	0.060666
466	0.059583
467	0.058292
468	0.058167
469	0.058667
470	0.06025
471	0.065583
472	0.058875
473	0.058667
474	0.058708
475	0.064
476	0.059834
477	0.05725
478	0.058209
479	0.059833
480	0.057042
481	0.057834
482	0.057458
483	0.058042
484	0.058042
485	0.061542
486	0.058334
487	0.059125
488	0.061875
489	0.059042
490	0.057625
491	0.057708
492	0.073375
493	0.057875
494	0.058458
495	0.058084
496	0.074792
497	0.060709
498	0.05875
499	0.058583
500	0.057333
501	0.057042
502	0.059917
503	0.065167
504	0.058541
505	0.241916
506	0.288667
507	0.168958
508	0.148792
509	0.202833
510	0.130834
511	0.262417
512	0.153875
513	0.143208
514	0.1595
515	0.373167
516	0.130125
517	0.130333
