index	elapsed_ms
0	10.043625
1	1.622583
2	0.858542
3	1.048625
4	2.296541
5	1.151292
6	0.622958
7	0.540667
8	1.36925
9	1.449708
10	2.09775
11	0.630542
12	1.002166
13	1.825583
14	0.727375
15	0.447083
16	0.418041
17	2.259917
18	0.628166
19	0.406583
20	0.50775
21	0.338875
22	0.319125
23	0.274208
24	0.298542
25	0.300959
26	0.833167
27	0.717958
28	0.983
29	0.417125
30	0.416667
31	0.374542
32	0.3345
33	0.314042
34	0.29
35	0.265083
36	0.300125
37	0.303875
38	0.269334
39	0.299792
40	0.327125
41	0.25425
42	0.30125
43	0.275334
44	0.281625
45	0.304167
46	0.608083
47	0.2885
48	0.311208
49	0.286334
50	1.094833
51	1.147167
52	0.838833
53	0.29575
54	0.703
55	0.883791
56	0.613916
57	0.302333
58	0.552459
59	0.409125
60	0.272583
61	0.235541
62	0.277417
63	0.792958
64	0.600416
65	0.894375
66	0.816875
67	0.715375
68	0.71075
69	0.56675
70	0.346708
71	0.242667
72	0.24275
73	0.248583
74	0.226
75	0.221833
76	0.304834
77	0.411958
78	0.259166
79	0.25175
80	0.259666
81	0.24725
82	0.249916
83	0.239959
84	0.280667
85	0.198834
86	0.31175
87	0.306125
88	0.230833
89	0.21175
90	0.253208
91	0.225958
92	0.312208
93	0.404875
94	0.51875
95	0.295916
96	0.245542
97	0.203917
98	0.748916
99	0.621541
100	0.556875
101	0.537959
102	0.521917
103	4.820542
104	1.116542
105	0.4195
106	0.281167
107	0.2875
108	0.27825
109	0.208958
110	0.2745
111	0.211291
112	0.249458
113	0.219083
114	0.210416
115	0.873708
116	0.667541
117	0.565041
118	0.609667
119	0.516792
120	0.615333
121	0.616666
122	0.841792
123	0.989042
124	0.783125
125	0.584083
126	0.6845
127	1.495125
128	0.3165
129	0.274625
130	0.222
131	0.200792
132	0.242292
133	0.192875
134	0.208583
135	0.218958
136	0.208417
137	0.198625
138	0.228083
139	0.190166
140	0.21275
141	0.210667
142	0.201583
143	0.220917
144	0.201625
145	0.1935
146	0.23425
147	0.184333
148	0.198167
149	0.283958
150	0.197458
151	0.1935
152	0.229417
153	0.186875
154	0.204625
155	0.209625
156	0.215208
157	0.185
158	0.267708
159	0.18925
160	0.225708
161	0.178958
162	0.661333
163	0.303916
164	0.665583
165	0.64975
166	0.258083
167	0.192459
168	0.222834
169	0.207959
170	0.193208
171	0.1985
172	0.20875
173	0.178708
174	0.217
175	0.200833
176	0.187917
177	0.216834
178	0.188042
179	0.238791
180	0.207417
181	0.178625
182	0.205166
183	0.1935
184	0.186167
185	0.191875
186	0.344583
187	0.178375
188	0.231125
189	0.191
190	0.188458
191	0.217708
192	0.207417
193	0.267625
194	0.3575
195	0.731958
196	0.515166
197	0.50675
198	0.355375
199	0.254208
200	0.717708
201	0.58725
202	0.539917
203	0.624042
204	0.430583
205	0.246125
206	0.263667
207	0.20025
208	0.225875
209	0.1945
210	0.220125
211	0.222417
212	0.214
213	0.206917
214	0.241417
215	0.203875
216	0.201417
217	0.229833
218	0.210459
219	0.265542
220	0.259458
221	0.209292
222	0.213875
223	0.234917
224	0.207833
225	0.235375
226	0.200875
227	0.188583
228	0.219208
229	0.204209
230	0.203042
231	0.283291
232	0.202584
233	0.192083
234	0.241541
235	0.187042
236	0.208709
237	0.226209
238	0.20525
239	0.225
240	0.206333
241	0.192709
242	0.256875
243	0.212709
244	0.20775
245	0.232792
246	0.233459
247	0.201417
248	0.232792
249	0.191375
250	0.222375
251	0.219708
252	0.198125
253	0.175917
254	0.236583
255	0.274875
256	0.234584
257	0.839417
258	0.694166
259	0.57175
260	0.240958
261	0.177708
262	0.204833
263	0.171084
264	0.172709
265	0.184875
266	0.170084
267	0.149083
268	0.188917
269	0.162333
270	0.35675
271	0.144542
272	0.178833
273	0.167583
274	0.163625
275	0.2055
276	0.182625
277	0.149375
278	0.179625
279	0.170708
280	0.161291
281	0.164709
282	0.485959
283	0.249875
284	0.207167
285	0.19325
286	0.181791
287	0.205291
288	0.172208
289	0.148625
290	0.199208
291	0.146209
292	0.166917
293	0.198417
294	0.167333
295	0.142791
296	0.203417
297	0.143708
298	0.158208
299	0.183125
300	0.155208
301	0.213791
302	0.156334
303	0.138
304	0.189416
305	0.147208
306	0.731166
307	0.563042
308	0.428166
309	0.353208
310	0.409334
