arm	block	position	elapsed_ms
off	0	0	5.832292
off	0	1	5.075666
off	0	2	8.974583
off	0	3	5.418416
off	0	4	10.814
off	0	5	6.681375
off	0	6	6.722083
off	0	7	6.484167
off	0	8	7.532292
off	0	9	6.398417
off	0	10	6.073791
off	0	11	4.507125
off	0	12	4.24925
off	0	13	5.477584
off	0	14	5.936916
off	0	15	6.419417
off	0	16	4.694458
off	0	17	3.680875
off	0	18	9.547625
off	0	19	5.685333
off	0	20	7.156875
off	0	21	6.279292
off	0	22	9.146042
off	0	23	5.597375
off	0	24	6.550959
off	0	25	6.80375
off	0	26	6.263083
off	0	27	4.597
off	0	28	7.020041
off	0	29	5.534
off	0	30	3.846875
off	0	31	4.083291
off	0	32	3.595917
off	0	33	3.777542
off	0	34	2.844833
off	0	35	6.08175
off	0	36	4.603625
off	0	37	5.490833
off	0	38	3.578458
off	0	39	3.793542
off	0	40	4.693084
off	0	41	4.981416
off	0	42	4.090083
off	0	43	7.159916
off	0	44	3.722875
off	0	45	3.346834
off	0	46	3.935
off	0	47	4.687
off	0	48	4.469041
off	0	49	3.128
on	0	0	6.658209
on	0	1	6.16425
on	0	2	5.96225
on	0	3	4.939125
on	0	4	9.460041
on	0	5	8.514666
on	0	6	10.002542
on	0	7	6.63
on	0	8	11.826833
on	0	9	8.874083
on	0	10	5.618417
on	0	11	6.224166
on	0	12	5.339
on	0	13	8.0045
on	0	14	6.12
on	0	15	5.251542
on	0	16	15.505625
on	0	17	7.60975
on	0	18	4.368417
on	0	19	5.862167
on	0	20	5.945042
on	0	21	5.372875
on	0	22	8.856625
on	0	23	6.706375
on	0	24	6.759
on	0	25	6.803583
on	0	26	4.128709
on	0	27	4.857917
on	0	28	6.964375
on	0	29	4.470917
on	0	30	4.718875
on	0	31	5.138916
on	0	32	4.553667
on	0	33	5.06875
on	0	34	4.358167
on	0	35	4.513458
on	0	36	4.945042
on	0	37	5.470875
on	0	38	4.497458
on	0	39	4.786667
on	0	40	8.619916
on	0	41	5.373834
on	0	42	4.693209
on	0	43	5.5545
on	0	44	4.468041
on	0	45	3.488916
on	0	46	3.724584
on	0	47	6.160083
on	0	48	4.526125
on	0	49	5.352167
on	1	0	4.127458
on	1	1	4.151416
on	1	2	4.027667
on	1	3	3.452208
on	1	4	3.201625
on	1	5	2.760333
on	1	6	2.483
on	1	7	2.692375
on	1	8	2.519667
on	1	9	2.616542
on	1	10	2.883791
on	1	11	2.91675
on	1	12	2.749334
on	1	13	2.827834
on	1	14	2.989708
on	1	15	2.6635
on	1	16	4.016125
on	1	17	3.781708
on	1	18	3.63975
on	1	19	2.687333
on	1	20	2.442084
on	1	21	3.629458
on	1	22	6.81125
on	1	23	3.085459
on	1	24	2.613666
on	1	25	2.719917
on	1	26	2.720375
on	1	27	3.184875
on	1	28	2.7395
on	1	29	3.59825
on	1	30	3.082084
on	1	31	3.254584
on	1	32	2.555917
on	1	33	2.354542
on	1	34	2.498209
on	1	35	2.574041
on	1	36	2.326375
on	1	37	2.480042
on	1	38	2.403958
on	1	39	2.614875
on	1	40	2.21775
on	1	41	2.45975
on	1	42	2.292375
on	1	43	2.566834
on	1	44	2.4435
on	1	45	2.958542
on	1	46	2.729542
on	1	47	2.521458
on	1	48	2.651375
on	1	49	3.1
off	1	0	1.722667
off	1	1	3.018208
off	1	2	3.272625
off	1	3	2.697375
off	1	4	2.304125
off	1	5	2.104375
off	1	6	1.854042
off	1	7	1.6475
off	1	8	1.798458
off	1	9	1.623042
off	1	10	1.701333
off	1	11	1.965958
off	1	12	1.690875
off	1	13	1.528417
off	1	14	1.760625
off	1	15	1.778292
off	1	16	1.65775
off	1	17	1.60775
off	1	18	2.513458
off	1	19	1.895458
off	1	20	2.401
off	1	21	2.636708
off	1	22	2.07925
off	1	23	1.759834
off	1	24	2.033333
off	1	25	1.950209
off	1	26	4.64925
off	1	27	2.602
off	1	28	2.130167
off	1	29	2.80075
off	1	30	2.398042
off	1	31	2.199875
off	1	32	4.718917
off	1	33	3.262
off	1	34	2.045375
off	1	35	2.232041
off	1	36	1.794667
off	1	37	1.624084
off	1	38	1.698708
off	1	39	2.091209
off	1	40	2.501708
off	1	41	2.5705
off	1	42	2.990334
off	1	43	3.430875
off	1	44	5.34175
off	1	45	3.850416
off	1	46	3.342333
off	1	47	2.650333
off	1	48	1.92775
off	1	49	2.135042
