run_id	ordinal	class	pair	position	arm	product_commit	exit_code	episode_wall_ms	caller_emission_ms	transport_or_local_tool_ms	server_ms	split_residual_ms	action_count	mcp_calls	refusal_count	first_refusal_type	caller_argument_bytes	model_output_tokens	model_reasoning_tokens	exact_tree	outcome_exact	wrong_subject	wrong_files	held_session	confirmation_used	tool_sequence
01-fill-p01-A	1	fill	1	1	A	05f5a1962e5a0c5aa0365c673994eca9024c1a44	0	96570.0	96386.27774238586	109.33768661413575	74.384571	0.0	6	6	2	invalid-prepared-confirmation	1699	2117	1260	True	True	0		True	True	inspect_clojure,edit_clojure,inspect_clojure,edit_clojure,inspect_clojure,edit_clojure
02-fill-p01-B	2	fill	1	2	B	19ab864889799b0028a5f7cb66c63b957ff7b973	0	59246.0	59083.22114562988	71.29289737011719	91.485957	0.0	3	3	1	invalid-mcp-request	1105	1125	531	True	True	0		True	False	inspect_clojure,inspect_clojure,edit_clojure
03-fill-p01-C	3	fill	1	3	C	native	0	115962.0	115961.36699867249	0.6330013275146484	0.0	0.0	3	0	0		0	2795	2362	False	False	0			False	command_execution,file_change,command_execution
04-wall-p01-B	4	wall	1	1	B	19ab864889799b0028a5f7cb66c63b957ff7b973	0	56562.0	56353.20898246765	66.18547553234865	142.60554199999999	0.0	3	3	1	invalid-mcp-request	2457	1207	367	True	True	0		True	False	inspect_clojure,inspect_clojure,edit_clojure
05-wall-p01-C	5	wall	1	2	C	native	0	83624.0	83623.54915046692	0.4508495330810547	0.0	0.0	3	0	0		0	1984	1474	False	False	0			False	command_execution,file_change,command_execution
06-wall-p01-A	6	wall	1	3	A	05f5a1962e5a0c5aa0365c673994eca9024c1a44	0	266886.0	266619.45613479614	109.79224220385743	156.751623	0.0	5	5	1	invalid-mcp-request	2341	6394	3575	True	True	0		True	True	inspect_clojure,inspect_clojure,inspect_clojure,inspect_clojure,edit_clojure
07-repair-p01-C	7	repair	1	1	C	native	0	536965.0	536958.1907653809	6.809234619140625	0.0	0.0	41	0	0		0	11007	5088	True	True	0			False	command_execution,file_change,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,file_change,command_execution,command_execution,file_change,file_change,command_execution,command_execution,file_change,command_execution,file_change,command_execution,file_change,command_execution,command_execution
08-repair-p01-A	8	repair	1	2	A	05f5a1962e5a0c5aa0365c673994eca9024c1a44	0	114972.0	114721.83668327332	80.27337672668455	169.88994000000002	0.0	4	4	3	invalid-mcp-request	5986	2690	805	True	True	0		True	False	edit_clojure,edit_clojure,inspect_clojure,edit_clojure
09-repair-p01-B	9	repair	1	3	B	19ab864889799b0028a5f7cb66c63b957ff7b973	0	87787.0	87574.37330436707	66.49024063293456	146.136455	0.0	3	3	2	invalid-mcp-request	5799	2037	1144	True	True	0		True	False	edit_clojure,edit_clojure,edit_clojure
10-flagship-p01-A	10	flagship	1	1	A	05f5a1962e5a0c5aa0365c673994eca9024c1a44	0	56527.0	53861.81001853943	53.61216446057142	2611.577817	0.0	1	1	0		520	1106	756	False	False	0		True	False	apply_clojure_changes
11-flagship-p01-C	11	flagship	1	2	C	native	0	603784.0	603580.2534427643	203.74655723571777	0.0	0.0	25	0	0		0	13053	4518	True	True	0			False	command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,file_change,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,file_change,command_execution,command_execution
12-flagship-p01-B	12	flagship	1	3	B	19ab864889799b0028a5f7cb66c63b957ff7b973	0	109342.0	106812.63398361206	62.62920938793923	2466.736807	0.0	2	2	1	invalid-mcp-request	1180	2587	1975	False	False	0		True	False	apply_clojure_changes,apply_clojure_changes
13-fill-p02-C	13	fill	2	1	C	native	0	99896.0	99895.4010925293	0.598907470703125	0.0	0.0	3	0	0		0	2241	1784	False	False	0			False	command_execution,file_change,command_execution
14-fill-p02-A	14	fill	2	2	A	05f5a1962e5a0c5aa0365c673994eca9024c1a44	0	255080.0	254877.49035835266	120.29602864733886	82.21361300000001	0.0	6	6	0		1646	6050	3666	True	True	0		True	True	inspect_clojure,inspect_clojure,inspect_clojure,inspect_clojure,inspect_clojure,edit_clojure
15-fill-p02-B	15	fill	2	3	B	19ab864889799b0028a5f7cb66c63b957ff7b973	0	63088.0	62946.45184326172	67.22662873828125	74.321528	0.0	3	3	1	invalid-mcp-request	1080	1484	903	True	True	0		True	False	inspect_clojure,inspect_clojure,edit_clojure
16-wall-p02-A	16	wall	2	1	A	05f5a1962e5a0c5aa0365c673994eca9024c1a44	0	61847.0	61634.27197647095	82.67009452905273	130.057929	0.0	3	3	1	invalid-mcp-request	1203	1193	647	True	True	0		True	True	inspect_clojure,inspect_clojure,edit_clojure
17-wall-p02-B	17	wall	2	2	B	19ab864889799b0028a5f7cb66c63b957ff7b973	0	102113.0	101905.21200942993	68.01220457006838	139.77578599999998	0.0	3	3	1	invalid-mcp-request	2457	1212	371	True	True	0		True	False	inspect_clojure,inspect_clojure,edit_clojure
18-wall-p02-C	18	wall	2	3	C	native	0	77904.0	77903.29285049438	0.7071495056152344	0.0	0.0	3	0	0		0	1857	1371	False	False	0			False	command_execution,file_change,command_execution
19-repair-p02-A	19	repair	2	1	A	05f5a1962e5a0c5aa0365c673994eca9024c1a44	0	68265.0	68038.73600006104	64.55623293896485	161.707767	0.0	2	2	1	expect-count-mismatch	3874	1418	190	True	True	0		True	False	edit_clojure,edit_clojure
20-repair-p02-B	20	repair	2	2	B	19ab864889799b0028a5f7cb66c63b957ff7b973	0	100492.0	100239.93291091919	66.56180708081052	185.50528200000002	0.0	3	3	2	invalid-mcp-request	5799	2365	554	True	True	0		True	False	edit_clojure,edit_clojure,edit_clojure
21-repair-p02-C	21	repair	2	3	C	native	0	450168.0	450163.46551704407	4.534482955932617	0.0	0.0	32	0	0		0	10488	5489	True	True	0			False	command_execution,file_change,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,file_change,command_execution,command_execution,command_execution,command_execution,file_change,command_execution,file_change,command_execution,command_execution
22-flagship-p02-B	22	flagship	2	1	B	19ab864889799b0028a5f7cb66c63b957ff7b973	0	73908.0	71315.41086006165	69.00301693835445	2523.586123	0.0	2	2	1	invalid-mcp-request	1482	1490	705	False	False	0		True	False	apply_clojure_changes,apply_clojure_changes
23-flagship-p02-A	23	flagship	2	2	A	05f5a1962e5a0c5aa0365c673994eca9024c1a44	0	124979.0	122795.54787063599	66.92587736401356	2116.526252	0.0	2	2	1	invalid-mcp-request	1123	2875	2168	False	False	0		True	False	apply_clojure_changes,apply_clojure_changes
24-flagship-p02-C	24	flagship	2	3	C	native	0	811208.0	810029.0225105286	1178.9774894714355	0.0	0.0	40	0	0		0	19171	5372	True	False	1	src/cfp_scheduler_killer/handlers.clj,src/clj_surgeon/mcp_formatter.clj		False	command_execution,command_execution,file_change,command_execution,command_execution,file_change,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,file_change,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,command_execution,file_change,command_execution
25-fill-p03-B	25	fill	3	1	B	19ab864889799b0028a5f7cb66c63b957ff7b973	0	41644.0	41498.50196266174	58.54012533825683	86.95791200000001	0.0	2	2	0		920	724	252	False	False	0		True	False	inspect_clojure,edit_clojure
26-fill-p03-C	26	fill	3	2	C	native	0	77345.0	77343.7564086914	1.24359130859375	0.0	0.0	4	0	0		0	1781	1325	False	False	0			False	command_execution,file_change,command_execution,file_change
27-fill-p03-A	27	fill	3	3	A	05f5a1962e5a0c5aa0365c673994eca9024c1a44	0	143008.0	142834.98321342468	99.99072957531739	73.026057	0.0	4	4	0		1068	3550	2483	True	True	0		True	True	inspect_clojure,inspect_clojure,inspect_clojure,edit_clojure
28-wall-p03-C	28	wall	3	1	C	native	0	335990.0	335989.2768764496	0.7231235504150391	0.0	0.0	4	0	0		0	8689	3999	False	False	0			False	command_execution,file_change,command_execution,command_execution
29-wall-p03-A	29	wall	3	2	A	05f5a1962e5a0c5aa0365c673994eca9024c1a44	0	89522.0	89293.50893211365	87.92477688635253	140.566291	0.0	3	3	1	invalid-mcp-request	1682	2093	828	True	True	0		True	True	inspect_clojure,inspect_clojure,edit_clojure
30-wall-p03-B	30	wall	3	3	B	19ab864889799b0028a5f7cb66c63b957ff7b973	0	46869.0	46670.3870716095	65.90771139050293	132.705217	0.0	2	2	0		2213	1040	218	True	True	0		True	False	inspect_clojure,edit_clojure
31-repair-p03-B	31	repair	3	1	B	19ab864889799b0028a5f7cb66c63b957ff7b973	0	117139.0	115872.81567001343	96.2280789865722	1169.956251	0.0	7	7	6	invalid-mcp-request	13780	2525	1023	False	False	0		True	False	edit_clojure,edit_clojure,edit_clojure,edit_clojure,edit_clojure,edit_clojure,edit_clojure
