ordinal	class	pair	position	arm
1	fill	1	1	A
2	fill	1	2	B
3	fill	1	3	C
4	wall	1	1	B
5	wall	1	2	C
6	wall	1	3	A
7	repair	1	1	C
8	repair	1	2	A
9	repair	1	3	B
10	flagship	1	1	A
11	flagship	1	2	C
12	flagship	1	3	B
13	fill	2	1	C
14	fill	2	2	A
15	fill	2	3	B
16	wall	2	1	A
17	wall	2	2	B
18	wall	2	3	C
19	repair	2	1	A
20	repair	2	2	B
21	repair	2	3	C
22	flagship	2	1	B
23	flagship	2	2	A
24	flagship	2	3	C
25	fill	3	1	B
26	fill	3	2	C
27	fill	3	3	A
28	wall	3	1	C
29	wall	3	2	A
30	wall	3	3	B
31	repair	3	1	B
32	repair	3	2	C
33	repair	3	3	A
34	flagship	3	1	C
35	flagship	3	2	B
36	flagship	3	3	A
37	repair	4	1	A
38	repair	4	2	C
39	repair	4	3	B
40	repair	5	1	B
41	repair	5	2	A
42	repair	5	3	C
