family	draw_rank	row_id	repo	file	pre_sha	session	ts	model
T	1	bc7c79a5bca29c9c	/home/forge/src/clj-surgeon	test/clj_surgeon/mission_display_test.clj	a135402d41b475fd97680272a9f556b44d508998	rollout-2026-09-06T01-49-24-01a07467-f3ae-7422-8186-80c758f753aa.jsonl	2026-09-06T05:28:08.454Z	gpt-6-astra
T	2	6a11b35478094530	/home/forge/src/clj-surgeon	test/clj_surgeon/tmp_leak_support_test.clj	35b5f9e33110ba72c1ee22225be62ac51639b1ba	agent-a38d8f6a97aa4e2e8.jsonl	2026-09-04T07:54:30.464Z	claude-opus-5
T	3	9189daf3dcecbaad	/home/forge/src/clj-surgeon	test/clj_surgeon/mission_test.clj	e00fb7e9e2c03c4ed2afa6c683d5153dc4933dce	agent-a26c1a2d353219639.jsonl	2026-09-05T18:59:12.107Z	claude-opus-5
T	4	1d6879265c7ea6fc	/home/forge/src/clj-surgeon-astra-consult	test/clj_surgeon/lane_manifest_test.clj	ebaf7aec0dbdc1b77f36cc70a3db91c71bd5a180	rollout-2026-09-09T04-47-15-01a0847d-db0e-7cb3-9bde-719bd52f8f15.jsonl	2026-09-09T04:55:54.326Z	gpt-6-astra
T	5	c4172888598790f3	/home/forge/src/clj-surgeon-astra-consult	test/clj_surgeon/namespace_split_test.clj	8b1dd01d89dd7275d5a1f600b5d90b1e5c6383ec	rollout-2026-09-08T22-51-38-01a08338-45b7-70d1-adb2-af4b30986851.jsonl	2026-09-08T22:59:21.732Z	gpt-6-astra
T	6	025681f05b054963	/home/forge/src/kaocha-sublime	test/kaocha_sublime/receipt_test.clj	51d8866582c17fe824f587cc414714eb60178429	rollout-2026-09-08T17-53-24-01a08227-3b5d-7902-9b9b-ec506b17eb41.jsonl	2026-09-08T19:05:40.624Z	gpt-6-astra
T	7	67323468616b1db2	/home/forge/src/clj-surgeon-split	test/clj_surgeon/mcp_intent_contract_test.clj	398679fa05bbe42a4aeda36a2442341af149aec0	rollout-2026-09-08T13-11-07-01a08124-cb61-7391-b48d-c0fd3aa89f6b.jsonl	2026-09-08T13:35:30.533Z	gpt-6-astra
T	8	7f4418d788a570f8	/home/forge/src/clj-surgeon	test/clj_surgeon/mcp_http_server_test.clj	e6d4416f25cd838b8e0c5bbb5488dd23af5be5be	agent-a16f493b9323a7f56.jsonl	2026-09-04T12:27:16.471Z	claude-opus-5
T	9	c50d302ee485ddbd	/home/forge/src/clj-surgeon	test/clj_surgeon/lane_manifest_test.clj	d6c0d035ac4b18839531eda55677cbc96176bf99	agent-a424ff2c1cc8022c3.jsonl	2026-09-06T22:01:03.807Z	claude-opus-5
T	10	f931c74d6c2591e7	/home/forge/src/clj-surgeon	test/clj_surgeon/agent_routing_test.clj	c1d6028afa59054ddca84ecfc36a356306e8d207	agent-a8d42eb1c1b3c5a6d.jsonl	2026-09-06T03:42:03.775Z	claude-opus-5
T	11	54c4d6d460ce25f0	/home/forge/src/clj-surgeon-o4	test/clj_surgeon/read_hook_test.clj	b59bc36a5a39a4a950886de0f30d31d80fb3cf7d	agent-a228c0e38ed270538.jsonl	2026-09-03T23:40:33.808Z	claude-opus-5
T	12	1fbecc9191003394	/home/forge/src/clj-surgeon	test/clj_surgeon/lane_manifest_test.clj	f0c180da28099327814fb558b322721370130f24	agent-ac85a563295176cab.jsonl	2026-09-06T03:31:32.089Z	claude-opus-5
T	13	810ab36a2f93ec37	/home/forge/src/clj-surgeon	test/clj_surgeon/lane_manifest_test.clj	2e6109cc6986888c996180a68053b25eb9198e89	agent-a8549b2966adc7ed5.jsonl	2026-09-07T07:28:02.271Z	claude-opus-5
T	14	ea5a970bf8ec10e7	/home/forge/src/clj-surgeon	test/clj_surgeon/admit_patch_round18_test.clj	d71b9d420bbf8178ad7988ad600b6434bfae636d	agent-a3908dd8408501322.jsonl	2026-09-04T22:32:00.430Z	claude-opus-5
