run_id	task	intent	arm	caller	oracle	gate	gate_green_defect	final_mechanism	mechanisms_seen	wall_s	refusals	diff_read	added	deleted	files	target_sha12	launched_at	num_turns	tool_calls	oracle_reason	outcome	tool_errors
I-01-mission-cli-stale__AC__claude-opus-5__r1	I-01-mission-cli-stale	I	AC	claude-opus-5	fail	unrunnable	no	surgeon	surgeon	112.42	0	yes	16	0	1	c171b9dc6604	2026-09-10T23:59:03Z	18	17	RED: 4 failed assertion(s)	completed	0
I-01-mission-cli-stale__AC__claude-sonnet-5__r1	I-01-mission-cli-stale	I	AC	claude-sonnet-5	fail	unrunnable	no	editor	editor	171.85	0	yes	17	0	1	8f3b4fb08010	2026-09-10T23:56:52Z	25	24	RED: 4 failed assertion(s)	completed	0
I-01-mission-cli-stale__A__claude-opus-5__r1	I-01-mission-cli-stale	I	A	claude-opus-5	fail	unrunnable	no	program	editor,program	76.21	0	yes	17	0	1	18f7311f1702	2026-09-11T00:03:29Z	13	12	RED: 4 failed assertion(s)	completed	0
I-01-mission-cli-stale__A__claude-sonnet-5__r1	I-01-mission-cli-stale	I	A	claude-sonnet-5	fail	unrunnable	no	editor	editor	87.72	0	yes	16	0	1	13e2f4b4ba0a	2026-09-10T23:59:44Z	19	18	RED: 4 failed assertion(s)	completed	0
I-01-mission-cli-stale__B__claude-opus-5__r1	I-01-mission-cli-stale	I	B	claude-opus-5	fail	unrunnable	no	program	editor,program	84.71	0	no	16	0	1	26269eef0947	2026-09-11T00:00:57Z	13	12	RED: 4 failed assertion(s)	completed	0
I-01-mission-cli-stale__B__claude-sonnet-5__r1	I-01-mission-cli-stale	I	B	claude-sonnet-5	fail	unrunnable	no	editor	editor	210.70	0	yes	17	0	1	f151f0f29811	2026-09-11T00:01:13Z	23	22	RED: 4 failed assertion(s)	completed	0
I-01-mission-cli-stale__C__claude-opus-5__r1	I-01-mission-cli-stale	I	C	claude-opus-5	fail	unrunnable	no	program	program,surgeon	123.07	0	yes	17	0	1	023228f2929f	2026-09-11T00:02:52Z	19	18	RED: 4 failed assertion(s)	completed	0
I-01-mission-cli-stale__C__claude-sonnet-5__r1	I-01-mission-cli-stale	I	C	claude-sonnet-5	fail	unrunnable	no	editor	editor	77.73	0	yes	15	0	1	a0622df2e95f	2026-09-10T23:57:44Z	15	14	RED: 4 failed assertion(s)	completed	0
I-01-mission-cli-stale__N__claude-opus-5__r1	I-01-mission-cli-stale	I	N	claude-opus-5	fail	unrunnable	no	program	editor,program	71.44	0	yes	16	0	1	4c90fc5a9ce3	2026-09-11T00:02:23Z	13	12	RED: 4 failed assertion(s)	completed	0
I-01-mission-cli-stale__N__claude-sonnet-5__r1	I-01-mission-cli-stale	I	N	claude-sonnet-5	fail	unrunnable	no	editor	editor	191.02	0	yes	16	0	1	84ff5b0b4a8f	2026-09-10T23:59:40Z	31	30	RED: 4 failed assertion(s)	completed	0
I-02-mission-cli-admitted-profiles__AC__claude-opus-5__r1	I-02-mission-cli-admitted-profiles	I	AC	claude-opus-5	fail	unrunnable	no	editor	editor	136.10	0	yes	44	0	1	5a639039f14e	2026-09-11T00:11:20Z	17	16	RED: 4 failed assertion(s)	completed	0
I-02-mission-cli-admitted-profiles__AC__claude-sonnet-5__r1	I-02-mission-cli-admitted-profiles	I	AC	claude-sonnet-5	fail	unrunnable	no	editor	editor	192.09	0	yes	33	0	1	a95b6283e0fc	2026-09-11T00:09:05Z	22	21	RED: 5 failed assertion(s)	completed	0
I-02-mission-cli-admitted-profiles__A__claude-opus-5__r1	I-02-mission-cli-admitted-profiles	I	A	claude-opus-5	fail	unrunnable	no	program	editor,program	129.23	0	yes	30	0	1	b2eceb8b79d1	2026-09-11T00:06:54Z	16	15	RED: 5 failed assertion(s)	completed	0
I-02-mission-cli-admitted-profiles__A__claude-sonnet-5__r1	I-02-mission-cli-admitted-profiles	I	A	claude-sonnet-5	fail	unrunnable	no	editor	editor	94.75	0	yes	28	0	1	d2761a8077ba	2026-09-11T00:12:18Z	19	18	RED: 4 failed assertion(s)	completed	1
I-02-mission-cli-admitted-profiles__B__claude-opus-5__r1	I-02-mission-cli-admitted-profiles	I	B	claude-opus-5	fail	unrunnable	no	program	editor,program	155.35	0	yes	23	0	1	45d8e41ef9a8	2026-09-11T00:06:55Z	16	15	RED: 4 failed assertion(s)	completed	0
I-02-mission-cli-admitted-profiles__B__claude-sonnet-5__r1	I-02-mission-cli-admitted-profiles	I	B	claude-sonnet-5	fail	unrunnable	no	editor	editor	131.60	0	yes	35	0	1	088e45758b41	2026-09-11T00:11:24Z	19	18	RED: 6 failed assertion(s)	completed	1
I-02-mission-cli-admitted-profiles__C__claude-opus-5__r1	I-02-mission-cli-admitted-profiles	I	C	claude-opus-5	fail	unrunnable	no	program	program,surgeon	139.10	0	no	41	0	1	b003642c1b43	2026-09-11T00:08:59Z	19	18	RED: 4 failed assertion(s)	completed	0
I-02-mission-cli-admitted-profiles__C__claude-sonnet-5__r1	I-02-mission-cli-admitted-profiles	I	C	claude-sonnet-5	fail	unrunnable	no	editor	editor	111.07	0	yes	30	0	1	d8269f30c4bc	2026-09-11T00:09:32Z	17	16	RED: 5 failed assertion(s)	completed	0
I-02-mission-cli-admitted-profiles__N__claude-opus-5__r1	I-02-mission-cli-admitted-profiles	I	N	claude-opus-5	fail	unrunnable	no	editor	editor	552.30	0	yes	39	0	1	7871636f5021	2026-09-11T00:06:52Z	19	18	RED: 5 failed assertion(s)	completed	0
I-02-mission-cli-admitted-profiles__N__claude-sonnet-5__r1	I-02-mission-cli-admitted-profiles	I	N	claude-sonnet-5	fail	unrunnable	no	editor	editor	112.04	0	yes	28	0	1	4b78b2d2a13f	2026-09-11T00:07:06Z	14	13	RED: 5 failed assertion(s)	completed	0
I-03-heap-sample-retention__AC__claude-opus-5__r1	I-03-heap-sample-retention	I	AC	claude-opus-5	fail	unrunnable	no	surgeon	surgeon	39.78	0	yes	16	0	1	7b4e7797cba7	2026-09-11T00:20:34Z	7	6	RED: 9 failed assertion(s)	completed	0
I-03-heap-sample-retention__AC__claude-sonnet-5__r1	I-03-heap-sample-retention	I	AC	claude-sonnet-5	fail	unrunnable	no	editor	editor	19.84	0	no	17	0	1	434b31ae4dbb	2026-09-11T00:19:47Z	3	2	RED: 9 failed assertion(s)	completed	0
I-03-heap-sample-retention__A__claude-opus-5__r1	I-03-heap-sample-retention	I	A	claude-opus-5	fail	unrunnable	no	editor	editor	30.72	0	yes	17	0	1	e11a747db520	2026-09-11T00:20:32Z	4	3	RED: 9 failed assertion(s)	completed	0
I-03-heap-sample-retention__A__claude-sonnet-5__r1	I-03-heap-sample-retention	I	A	claude-sonnet-5	fail	unrunnable	no	editor	editor	18.95	0	no	15	0	1	39582a2d37e9	2026-09-11T00:21:00Z	3	2	RED: 8 failed assertion(s)	completed	0
I-03-heap-sample-retention__B__claude-opus-5__r1	I-03-heap-sample-retention	I	B	claude-opus-5	fail	unrunnable	no	editor	editor	24.10	0	yes	15	0	1	1b1b4295a452	2026-09-11T00:20:08Z	4	3	RED: 9 failed assertion(s)	completed	0
I-03-heap-sample-retention__B__claude-sonnet-5__r1	I-03-heap-sample-retention	I	B	claude-sonnet-5	fail	unrunnable	no	editor	editor	16.15	0	no	14	0	1	1475305df265	2026-09-11T00:21:00Z	3	2	RED: 9 failed assertion(s)	completed	0
I-03-heap-sample-retention__C__claude-opus-5__r1	I-03-heap-sample-retention	I	C	claude-opus-5	fail	unrunnable	no	surgeon	surgeon	44.48	0	yes	18	0	1	aa2299c533fc	2026-09-11T00:21:18Z	7	6	RED: 9 failed assertion(s)	completed	0
I-03-heap-sample-retention__C__claude-sonnet-5__r1	I-03-heap-sample-retention	I	C	claude-sonnet-5	fail	unrunnable	no	editor	editor	28.24	0	no	16	0	1	eb01d3749c06	2026-09-11T00:21:04Z	3	2	RED: 9 failed assertion(s)	completed	0
I-03-heap-sample-retention__N__claude-opus-5__r1	I-03-heap-sample-retention	I	N	claude-opus-5	fail	unrunnable	no	editor	editor	29.87	0	yes	14	0	1	7e8e9214be5e	2026-09-11T00:21:15Z	6	5	RED: 9 failed assertion(s)	completed	0
I-03-heap-sample-retention__N__claude-sonnet-5__r1	I-03-heap-sample-retention	I	N	claude-sonnet-5	fail	unrunnable	no	editor	editor	12.88	0	yes	14	0	1	436a40cd77db	2026-09-11T00:21:20Z	4	3	RED: 9 failed assertion(s)	completed	0
I-04-mission-display-decision-view__AC__claude-opus-5__r1	I-04-mission-display-decision-view	I	AC	claude-opus-5	pass	unrunnable	no	surgeon	surgeon	140.84	0	yes	28	0	1	a07dba3c9265	2026-09-10T23:55:22Z	18	17	GREEN: I-04-mission-display-decision-view: intent met, and every other byte of src/clj_surgeon/mission_display.clj is where it was	completed	0
I-04-mission-display-decision-view__AC__claude-sonnet-5__r1	I-04-mission-display-decision-view	I	AC	claude-sonnet-5	fail	unrunnable	no	editor	editor	133.17	0	yes	37	0	1	4dd245b1bbfb	2026-09-10T23:51:23Z	17	18	RED: 3 failed assertion(s)	completed	0
I-04-mission-display-decision-view__A__claude-opus-5__r1	I-04-mission-display-decision-view	I	A	claude-opus-5	pass	unrunnable	no	editor	editor	238	0	yes	28	0	1	4f1badc4647e	2026-09-10T23:51:23Z	22	18	GREEN: I-04-mission-display-decision-view: intent met, and every other byte of src/clj_surgeon/mission_display.clj is where it was	completed	0
I-04-mission-display-decision-view__A__claude-sonnet-5__r1	I-04-mission-display-decision-view	I	A	claude-sonnet-5	pass	unrunnable	no	editor	editor	247.02	0	yes	27	0	1	c337f56cc4fc	2026-09-10T23:55:32Z	22	21	GREEN: I-04-mission-display-decision-view: intent met, and every other byte of src/clj_surgeon/mission_display.clj is where it was	completed	0
I-04-mission-display-decision-view__B__claude-opus-5__r1	I-04-mission-display-decision-view	I	B	claude-opus-5	pass	unrunnable	no	editor	editor	473.93	0	yes	24	0	1	2a4647482b45	2026-09-10T23:55:34Z	19	18	GREEN: I-04-mission-display-decision-view: intent met, and every other byte of src/clj_surgeon/mission_display.clj is where it was	completed	0
I-04-mission-display-decision-view__B__claude-sonnet-5__r1	I-04-mission-display-decision-view	I	B	claude-sonnet-5	fail	unrunnable	no	editor	editor	113.73	0	yes	23	0	1	42b65a42fa42	2026-09-10T23:53:38Z	16	15	RED: 3 failed assertion(s)	completed	0
