standard-clj fix v0.29.0

F /test/clj_surgeon/agent_routing_test.clj [11.64ms]
F /test/clj_surgeon/alias_migration_test.clj [22.75ms]
F /test/clj_surgeon/analyze_test.clj [3.31ms]
F /test/clj_surgeon/battery_parallel_runner.clj [15.37ms]
✓ /test/clj_surgeon/battery_parallel_test.clj [9.57ms]
F /test/clj_surgeon/cli_dispatch_test.clj [8.73ms]
F /test/clj_surgeon/cljc/analyze_test.clj [0.7ms]
F /test/clj_surgeon/cljc/merge_test.clj [0.58ms]
F /test/clj_surgeon/cljc/require_ops_test.clj [0.69ms]
F /test/clj_surgeon/cljc/split_test.clj [0.65ms]
F /test/clj_surgeon/cljc_existing_ops_test.clj [3.57ms]
F /test/clj_surgeon/diagnostic_delta_test.clj [1.03ms]
F /test/clj_surgeon/edit_dsl_test.clj [4.89ms]
F /test/clj_surgeon/edit_test.clj [9.96ms]
F /test/clj_surgeon/edn_config_integration_test.clj [1.63ms]
F /test/clj_surgeon/extract_header_test.clj [0.66ms]
F /test/clj_surgeon/extract_test.clj [4.98ms]
F /test/clj_surgeon/failure_report_test.clj [0.63ms]
F /test/clj_surgeon/file_ops_test.clj [0.28ms]
F /test/clj_surgeon/fix_declares_test.clj [1.74ms]
F /test/clj_surgeon/forms_test.clj [2.24ms]
F /test/clj_surgeon/help_test.clj [6.81ms]
F /test/clj_surgeon/insertion_gap_test.clj [0.61ms]
F /test/clj_surgeon/install_test.clj [2.39ms]
F /test/clj_surgeon/intent_transaction_test.clj [12.53ms]
F /test/clj_surgeon/jvm_error_test.clj [0.7ms]
✓ /test/clj_surgeon/lane_manifest.clj [0.98ms]
F /test/clj_surgeon/lane_manifest_test.clj [3.71ms]
F /test/clj_surgeon/lens_query_test.clj [5.4ms]
F /test/clj_surgeon/ls_tree_test.clj [1.27ms]
F /test/clj_surgeon/memory_battery_test.clj [2.94ms]
F /test/clj_surgeon/move_dependency_test.clj [1.39ms]
F /test/clj_surgeon/move_test.clj [1.24ms]
F /test/clj_surgeon/operation_algebra_test.clj [4.38ms]
F /test/clj_surgeon/outermost_test.clj [1.81ms]
F /test/clj_surgeon/outline_test.clj [1.86ms]
F /test/clj_surgeon/owner_hypotheses_test.clj [2.27ms]
F /test/clj_surgeon/parser_admission_test.clj [4.79ms]
F /test/clj_surgeon/partition_all_test.clj [2.69ms]
F /test/clj_surgeon/platform_selector_test.clj [1.24ms]
F /test/clj_surgeon/recovery_test.clj [0.71ms]
F /test/clj_surgeon/relation_census_test.clj [1.21ms]
F /test/clj_surgeon/rename_test.clj [1.24ms]
F /test/clj_surgeon/show_form_test.clj [11.92ms]
F /test/clj_surgeon/structural_lens_test.clj [1.7ms]
F /test/clj_surgeon/syntax_var_refs_test.clj [0.51ms]
F /test/clj_surgeon/tmp_leak_support_test.clj [1.11ms]
F /test/clj_surgeon/worktree_lifecycle_cli_test.clj [0.25ms]
F /test/clj_surgeon/worktree_lifecycle_io_test.clj [0.8ms]
F /test/clj_surgeon/worktree_lifecycle_test.clj [1.39ms]
F /test/clj_surgeon/xray_test.clj [3.72ms]

All 51 files formatted with Standard Clojure Style 👍 [208.09ms]
