task	model	n_wall_s	m_wall_s	caller_ratio	n_gate_s	m_gate_s	n_accepted	m_accepted	n_receipt	m_receipt
I-01-mission-cli-stale	gpt-6-astra	142.13	108.66	0.7645113628368395	4.89	5.84	False	False	/var/tmp/forge/measure-codexN/runs-N/I-01-mission-cli-stale__N__gpt-6-astra/result.edn	/var/tmp/forge/cohort-fx/codex/runs/I-01-mission-cli-stale__M__gpt-6-astra/result.edn
I-02-mission-cli-admitted-profiles	gpt-6-astra	211.72	124.55	0.5882769695824674	4.92	5.52	False	False	/var/tmp/forge/measure-codexN/runs-N/I-02-mission-cli-admitted-profiles__N__gpt-6-astra/result.edn	/var/tmp/forge/cohort-fx/codex/runs/I-02-mission-cli-admitted-profiles__M__gpt-6-astra/result.edn
I-03-heap-sample-retention	gpt-6-astra	114.15	118.07	1.034340779675865	1.51	8.31	False	False	/var/tmp/forge/measure-codexN/runs-N/I-03-heap-sample-retention__N__gpt-6-astra/result.edn	/var/tmp/forge/cohort-fx/codex/runs/I-03-heap-sample-retention__M__gpt-6-astra/result.edn
I-04-mission-display-decision-view	gpt-6-astra	2.38	139.13	58.457983193277315	5.9	10.38	False	True	/var/tmp/forge/measure-codexN/runs-N/I-04-mission-display-decision-view__N__gpt-6-astra/result.edn	/var/tmp/forge/cohort-fx/codex/runs/I-04-mission-display-decision-view__M__gpt-6-astra/result.edn
R-01-core-discovery-require-edn	gpt-6-astra	102.48	177.88	1.7357533177205307	48.75	102.12	False	True	/var/tmp/forge/measure-codexN/runs-N/R-01-core-discovery-require-edn__N__gpt-6-astra/result.edn	/var/tmp/forge/cohort-fx/codex/runs/R-01-core-discovery-require-edn__M__gpt-6-astra/result.edn
R-02-recovery-require-measured	gpt-6-astra	45.44	55.19	1.214568661971831	0.67	0.59	False	False	/var/tmp/forge/measure-codexN/runs-N/R-02-recovery-require-measured__N__gpt-6-astra/result.edn	/var/tmp/forge/cohort-fx/codex/runs/R-02-recovery-require-measured__M__gpt-6-astra/result.edn
R-03-workspace-string-alias	gpt-6-astra	95.93	47.52	0.4953612008756385	2.67	2.95	True	True	/var/tmp/forge/measure-codexN/runs-N/R-03-workspace-string-alias__N__gpt-6-astra/result.edn	/var/tmp/forge/cohort-fx/codex/runs/R-03-workspace-string-alias__M__gpt-6-astra/result.edn
R-04-namespace-split-require-cheshire	gpt-6-astra	56.98	73.5	1.28992628992629	29.76	7.21	False	True	/var/tmp/forge/measure-codexN/runs-N/R-04-namespace-split-require-cheshire__N__gpt-6-astra/result.edn	/var/tmp/forge/cohort-fx/codex/runs/R-04-namespace-split-require-cheshire__M__gpt-6-astra/result.edn
T-01-outline-memory-spec-marker	gpt-6-astra	69.95	83.19	1.18927805575411	27.17	56.54	False	False	/var/tmp/forge/measure-codexN/runs-N/T-01-outline-memory-spec-marker__N__gpt-6-astra/result.edn	/var/tmp/forge/cohort-fx/codex/runs/T-01-outline-memory-spec-marker__M__gpt-6-astra/result.edn
T-02-study-row-line-range	gpt-6-astra	123.51	211.72	1.7141931827382397	42.32	82.97	False	True	/var/tmp/forge/measure-codexN/runs-N/T-02-study-row-line-range__N__gpt-6-astra/result.edn	/var/tmp/forge/cohort-fx/codex/runs/T-02-study-row-line-range__M__gpt-6-astra/result.edn
T-03-alias-migration-kind-count	gpt-6-astra	103.37	89.24	0.8633065686369352	71.37	81.15	False	True	/var/tmp/forge/measure-codexN/runs-N/T-03-alias-migration-kind-count__N__gpt-6-astra/result.edn	/var/tmp/forge/cohort-fx/codex/runs/T-03-alias-migration-kind-count__M__gpt-6-astra/result.edn
T-04-lane-manifest-total	gpt-6-astra	133.08	91.07	0.6843252179140366	4.28	3.58	False	False	/var/tmp/forge/measure-codexN/runs-N/T-04-lane-manifest-total__N__gpt-6-astra/result.edn	/var/tmp/forge/cohort-fx/codex/runs/T-04-lane-manifest-total__M__gpt-6-astra/result.edn
example-R-e4	gpt-6-astra	45.89	89.51	1.950533885378078	15.01	57.01	False	True	/var/tmp/forge/measure-codexN/runs-N/example-R-e4__N__gpt-6-astra/result.edn	/var/tmp/forge/cohort-fx/codex/runs/example-R-e4__M__gpt-6-astra/result.edn
I-01-mission-cli-stale	gpt-5.6-sol	171.87	187.32	1.0898935241752488	11.52	4.98	False	True	/var/tmp/forge/measure-codexN/runs-N/I-01-mission-cli-stale__N__gpt-5.6-sol/result.edn	/var/tmp/forge/cohort-fx/codex/runs/I-01-mission-cli-stale__M__gpt-5.6-sol/result.edn
I-02-mission-cli-admitted-profiles	gpt-5.6-sol	195.12	548.24	2.8097580975809757	4.89	49.85	False	True	/var/tmp/forge/measure-codexN/runs-N/I-02-mission-cli-admitted-profiles__N__gpt-5.6-sol/result.edn	/var/tmp/forge/cohort-fx/codex/runs/I-02-mission-cli-admitted-profiles__M__gpt-5.6-sol/result.edn
I-03-heap-sample-retention	gpt-5.6-sol	264.5	191.12	0.7225708884688091	1.47	10.06	False	True	/var/tmp/forge/measure-codexN/runs-N/I-03-heap-sample-retention__N__gpt-5.6-sol/result.edn	/var/tmp/forge/cohort-fx/codex/runs/I-03-heap-sample-retention__M__gpt-5.6-sol/result.edn
I-04-mission-display-decision-view	gpt-5.6-sol	194.71	372.23	1.9117148579939398	5.41	10.12	False	True	/var/tmp/forge/measure-codexN/runs-N/I-04-mission-display-decision-view__N__gpt-5.6-sol/result.edn	/var/tmp/forge/cohort-fx/codex/runs/I-04-mission-display-decision-view__M__gpt-5.6-sol/result.edn
R-01-core-discovery-require-edn	gpt-5.6-sol	76.96	333.36	4.3316008316008325	48.48	102.12	False	True	/var/tmp/forge/measure-codexN/runs-N/R-01-core-discovery-require-edn__N__gpt-5.6-sol/result.edn	/var/tmp/forge/cohort-fx/codex/runs/R-01-core-discovery-require-edn__M__gpt-5.6-sol/result.edn
R-02-recovery-require-measured	gpt-5.6-sol	91.28	163.23	1.788234005258545	3.32	0.6	False	False	/var/tmp/forge/measure-codexN/runs-N/R-02-recovery-require-measured__N__gpt-5.6-sol/result.edn	/var/tmp/forge/cohort-fx/codex/runs/R-02-recovery-require-measured__M__gpt-5.6-sol/result.edn
R-03-workspace-string-alias	gpt-5.6-sol	111.03	125.03	1.126092047194452	2.69	2.78	True	True	/var/tmp/forge/measure-codexN/runs-N/R-03-workspace-string-alias__N__gpt-5.6-sol/result.edn	/var/tmp/forge/cohort-fx/codex/runs/R-03-workspace-string-alias__M__gpt-5.6-sol/result.edn
R-04-namespace-split-require-cheshire	gpt-5.6-sol	119.85	123.48	1.030287859824781	6.93	6.81	False	True	/var/tmp/forge/measure-codexN/runs-N/R-04-namespace-split-require-cheshire__N__gpt-5.6-sol/result.edn	/var/tmp/forge/cohort-fx/codex/runs/R-04-namespace-split-require-cheshire__M__gpt-5.6-sol/result.edn
T-01-outline-memory-spec-marker	gpt-5.6-sol	55.43	187.38	3.3804798845390582	27.65	117.29	False	False	/var/tmp/forge/measure-codexN/runs-N/T-01-outline-memory-spec-marker__N__gpt-5.6-sol/result.edn	/var/tmp/forge/cohort-fx/codex/runs/T-01-outline-memory-spec-marker__M__gpt-5.6-sol/result.edn
T-02-study-row-line-range	gpt-5.6-sol	149.12	235.21	1.5773202789699572	41.95	167.44	False	False	/var/tmp/forge/measure-codexN/runs-N/T-02-study-row-line-range__N__gpt-5.6-sol/result.edn	/var/tmp/forge/cohort-fx/codex/runs/T-02-study-row-line-range__M__gpt-5.6-sol/result.edn
T-03-alias-migration-kind-count	gpt-5.6-sol	109.49	247.25	2.2581970956251713	71.43	72.75	False	True	/var/tmp/forge/measure-codexN/runs-N/T-03-alias-migration-kind-count__N__gpt-5.6-sol/result.edn	/var/tmp/forge/cohort-fx/codex/runs/T-03-alias-migration-kind-count__M__gpt-5.6-sol/result.edn
T-04-lane-manifest-total	gpt-5.6-sol	99.27	251.24	2.530875390349552	3.4	3.53	False	False	/var/tmp/forge/measure-codexN/runs-N/T-04-lane-manifest-total__N__gpt-5.6-sol/result.edn	/var/tmp/forge/cohort-fx/codex/runs/T-04-lane-manifest-total__M__gpt-5.6-sol/result.edn
example-R-e4	gpt-5.6-sol	26.51	159.19	6.0049038098830625	16.85	28.76	False	True	/var/tmp/forge/measure-codexN/runs-N/example-R-e4__N__gpt-5.6-sol/result.edn	/var/tmp/forge/cohort-fx/codex/runs/example-R-e4__M__gpt-5.6-sol/result.edn
