Selected 72 test namespaces across all lanes
edge-counts {:require 1875, :data-file 19270, :source-text 41, :source-scan 5292}
selection-edge-counts {:source-scan 55, :require 40}
selected clj-surgeon.txn-journal-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.admit-patch-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.admit-patch-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.alias-migration-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.analyzer-contract-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.battery-parallel-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.cli-dispatch-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.cljc-existing-ops-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.core-discovery-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.extract-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.fast-lane-isolation-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.helper-extraction-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.insert-forms-receipt-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.install-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.jvm-error-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.lane-manifest-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.ls-tree-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-alias-migration-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-alias-migration-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-change-buffer-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-combinable-transaction-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-compact-edit-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-compact-location-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-compact-relations-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-compact-relations-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-create-files-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-expect-guard-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-extraction-plan-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-feature-thread-sed-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-feature-thread-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-formatter-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-helper-extraction-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-helper-extraction-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-helper-extraction-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-hot-verify-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-hot-verify-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-http-server-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-inspect-cold-job-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-inspect-tool-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-inspect-tool-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-namespace-split-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-namespace-split-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-operation-async-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-operation-registry-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-prepared-confirmation-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-prepared-request-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-process-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-recovery-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-relation-census-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-server-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-tool-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-tool-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mcp-write-refusal-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.memory.journal-green-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.memory.oom-reproduction-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mission-commit-cli-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mission-commit-cli-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mission-events-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mission-fallback-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mission-fallback-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mission-git-ledger-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mission-git-ledger-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mission-phase-events-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mission-provider-fallback-events-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mission-publication-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mission-publication-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mission-run-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mission-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mission-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mission-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mission-typist-executor-admission-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mission-typist-executor-admission-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mission-typist-executor-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.mission-typist-executor-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.mission-usage-executor-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.namespace-split-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.namespace-split-warm-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.namespace-split-warm-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.ns-isolation-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.outline-corpus-integration-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.parser-admission-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.probe-state-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.reader-eval-fence-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.receipt-artifacts-boundary-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.receipt-artifacts-boundary-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.receipt-artifacts-boundary-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.receipt-artifacts-boundary-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.receipt-booleans-test via require src/clj_surgeon/probe.clj
selected clj-surgeon.rename-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.scope-stream-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.splice-envelope-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.split-proof-gate-boundary-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.split-proof-gate-boundary-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.split-proof-gate-boundary-test via source-scan src/clj_surgeon/probe.clj
selected clj-surgeon.workspace-onboarding-test via source-scan src/clj_surgeon/probe.clj
