diff	arm	run	launch_utc	load1	wall_ns	exit	log
d5	native	1	2026-09-14T14:28:40Z	2.31	32615068358	0	/var/tmp/forge/measure-fx/diff-impact/logs/d5-native-1.log
d5	tool	1	2026-09-14T14:31:12Z	3.85			/var/tmp/forge/measure-fx/diff-impact/logs/d5-tool-1.log
d5	native	2	2026-09-14T14:31:12Z	3.85	29733336880	0	/var/tmp/forge/measure-fx/diff-impact/logs/d5-native-2.log
d5	tool	2	2026-09-14T14:34:12Z	2.80	25208286527	0	/var/tmp/forge/measure-fx/diff-impact/logs/d5-tool-2.log
d2	native	1	2026-09-14T14:34:37Z	3.52	32022126396	0	/var/tmp/forge/measure-fx/diff-impact/logs/d2-native-1.log
d2	tool	1	2026-09-14T14:36:39Z	3.67	45304747126	0	/var/tmp/forge/measure-fx/diff-impact/logs/d2-tool-1.log
d2	native	2	2026-09-14T14:37:55Z	3.22	27254856611	0	/var/tmp/forge/measure-fx/diff-impact/logs/d2-native-2.log
d2	tool	2	2026-09-14T14:39:52Z	3.80	44078212694	0	/var/tmp/forge/measure-fx/diff-impact/logs/d2-tool-2.log
d1	native	1	2026-09-14T14:40:36Z	3.98	30238416784	1	/var/tmp/forge/measure-fx/diff-impact/logs/d1-native-1.log
d1	tool	1	2026-09-14T14:42:37Z	3.17	2611254173516	1	/var/tmp/forge/measure-fx/diff-impact/logs/d1-tool-1.log
d1	native	2	2026-09-14T15:26:08Z	2.86	30103648113	1	/var/tmp/forge/measure-fx/diff-impact/logs/d1-native-2.log
d1	tool	2	2026-09-14T15:28:08Z	3.13	2599404486779	1	/var/tmp/forge/measure-fx/diff-impact/logs/d1-tool-2.log
d3	native	1	2026-09-14T16:11:28Z	3.50	31165745710	1	/var/tmp/forge/measure-fx/diff-impact/logs/d3-native-1.log
d3	tool	1	2026-09-14T16:13:59Z	3.06	1984985160530	1	/var/tmp/forge/measure-fx/diff-impact/logs/d3-tool-1.log
d3	native	2	2026-09-14T16:47:04Z	3.92	30564467146	1	/var/tmp/forge/measure-fx/diff-impact/logs/d3-native-2.log
d3	tool	2	2026-09-14T16:49:05Z	3.48	1985224388533	1	/var/tmp/forge/measure-fx/diff-impact/logs/d3-tool-2.log
d4	native	1	2026-09-14T17:22:40Z	3.71	29985239101	0	/var/tmp/forge/measure-fx/diff-impact/logs/d4-native-1.log
d4	tool	1	2026-09-14T17:24:40Z	3.68	2060091461066	1	/var/tmp/forge/measure-fx/diff-impact/logs/d4-tool-1.log
d4	native	2	2026-09-14T17:59:00Z	3.31	28750393759	0	/var/tmp/forge/measure-fx/diff-impact/logs/d4-native-2.log
d4	tool	2	2026-09-14T18:01:29Z	3.07	2064283446775	1	/var/tmp/forge/measure-fx/diff-impact/logs/d4-tool-2.log
