diff	arm	run	launch_utc	load1	wall_ns	exit	log
d5	native	1	2026-09-15T09:33:22Z	2.70	26744715764	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d5-native-1.log
d5	tool-fast	1	2026-09-15T09:35:27Z	3.07	6994156699	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d5-tool-fast-1.log
d5	tool-all	1	2026-09-15T09:35:37Z	2.98	18691267914	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d5-tool-all-1.log
d5	native	2	2026-09-15T09:35:58Z	2.97	27840785602	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d5-native-2.log
d5	tool-fast	2	2026-09-15T09:38:04Z	3.34	7105195118	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d5-tool-fast-2.log
d5	tool-all	2	2026-09-15T09:38:14Z	3.13	18493247821	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d5-tool-all-2.log
d2	native	1	2026-09-15T09:38:34Z	3.27	30192264869	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d2-native-1.log
d2	tool-fast	1	2026-09-15T09:41:16Z	2.83	12740189025	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d2-tool-fast-1.log
d2	tool-all	1	2026-09-15T09:42:03Z	3.80	38159333509	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d2-tool-all-1.log
d2	native	2	2026-09-15T09:43:48Z	3.46	27881131846	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d2-native-2.log
d2	tool-fast	2	2026-09-15T09:45:54Z	3.44	12721747273	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d2-tool-fast-2.log
d2	tool-all	2	2026-09-15T09:46:41Z	3.39	26413074620	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d2-tool-all-2.log
d1	native	1	2026-09-15T09:47:43Z	3.10	29381144246	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d1-native-1.log
d1	tool-fast	1	2026-09-15T09:49:52Z	3.09	33300446405	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d1-tool-fast-1.log
d1	tool-all	1	2026-09-15T09:52:04Z	3.20	1330439691203	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d1-tool-all-1.log
d1	native	2	2026-09-15T10:15:54Z	2.82	30684320694	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d1-native-2.log
d1	tool-fast	2	2026-09-15T10:18:03Z	3.63	33070497480	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d1-tool-fast-2.log
d1	tool-all	2	2026-09-15T10:20:15Z	3.95	1330703881314	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d1-tool-all-2.log
d3	native	1	2026-09-15T10:44:05Z	3.11	29971636283	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d3-native-1.log
d3	tool-fast	1	2026-09-15T10:46:14Z	3.58	34129281538	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d3-tool-fast-1.log
d3	tool-all	1	2026-09-15T10:48:27Z	3.82	785458759377	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d3-tool-all-1.log
d3	native	2	2026-09-15T11:03:12Z	3.69	29417630541	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d3-native-2.log
d3	tool-fast	2	2026-09-15T11:05:20Z	3.31	34138825547	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d3-tool-fast-2.log
d3	tool-all	2	2026-09-15T11:07:33Z	3.58	771982685832	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d3-tool-all-2.log
d4	native	1	2026-09-15T11:22:04Z	3.21	30695101101	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d4-native-1.log
d4	tool-fast	1	2026-09-15T11:24:14Z	3.18	31419591492	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d4-tool-fast-1.log
d4	tool-all	1	2026-09-15T11:26:57Z	3.35	803501050416	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d4-tool-all-1.log
d4	native	2	2026-09-15T11:42:00Z	3.45	27239588199	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d4-native-2.log
d4	tool-fast	2	2026-09-15T11:44:39Z	3.43	31511152082	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d4-tool-fast-2.log
d4	tool-all	2	2026-09-15T11:46:49Z	3.37	789172065325	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d4-tool-all-2.log
d1	parity	1	2026-09-15T12:01:20Z	3.28	30014104095	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d1-parity-1.log
d2	parity	1	2026-09-15T12:03:29Z	3.32	27541018960	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d2-parity-1.log
d3	parity	1	2026-09-15T12:05:38Z	3.77	30083035590	1	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d3-parity-1.log
d4	parity	1	2026-09-15T12:07:49Z	3.47	28051622574	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d4-parity-1.log
d5	parity	1	2026-09-15T12:10:28Z	3.08	27933143216	0	/var/tmp/forge/measure-fx/diff-impact-replay/logs/d5-parity-1.log
