elapsed_ms	rss_kib	vm_hwm_kib	vm_size_kib	state
0	45036	46416	3878068	S
0	92536	92916	4492628	S
0	120376	120492	4692316	S
1000	152244	152712	4958572	S
1000	163484	163576	5158264	S
1000	199252	199496	5224828	S
1000	270408	273000	5357956	S
1000	283376	285644	5557648	S
2000	313708	313764	5557648	S
2000	319580	321332	5557648	S
2000	343596	346828	5557648	S
2000	358544	358604	5557648	S
3000	382000	383028	5557648	S
3000	393476	393512	5557648	S
3000	393436	399540	5557648	S
3000	413400	413464	5557716	S
3000	419060	419112	5557716	S
4000	424276	424360	5557716	S
4000	455320	456904	5557716	S
4000	475784	475840	5557716	S
4000	484244	484292	5557716	S
5000	491048	491084	5557716	S
5000	503416	503444	5557716	S
5000	457516	502828	5557716	S
5000	464456	502828	5557716	S
5000	468464	502828	5557716	S
6000	529328	529364	5557716	S
6000	532184	535080	5557716	S
6000	555712	555752	5557716	S
6000	575916	576292	5623252	S
6000	590284	590544	6154788	S
7000	590944	590944	6154788	S
7000	594764	594764	6221348	S
8000	594764	594764	6221348	S
8000	594764	594764	6221348	S
8000	594764	594764	6221348	S
8000	594764	594764	6221348	S
8000	594764	594764	6221348	S
9000	594764	594764	6221348	S
9000	594764	594764	6221348	S
9000	594764	594764	6221348	S
9000	594764	594764	6221348	S
10000	594764	594764	6221348	S
10000	594764	594764	6221348	S
10000	594764	594764	6221348	S
10000	581624	593316	6221348	S
10000	581624	593316	6221348	S
11000	581624	593316	6221348	S
11000	581628	593316	6221348	S
11000	581628	593316	6221348	S
11000	581628	593316	6221348	S
12000	581592	593316	6221348	S
