3776508:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        360730       39091744  [B (java.base@21.0.11)
   2:        312781       12742368  [Ljava.lang.Object; (java.base@21.0.11)
   3:          4741       11003816  [Ljdk.internal.vm.FillerElement; (java.base@21.0.11)
   4:        124285       10937080  java.lang.reflect.Method (java.base@21.0.11)
   5:        249957        5998968  java.lang.String (java.base@21.0.11)
   6:        152901        4892832  clojure.lang.MapEntry
   7:         27827        4007088  [Lclojure.lang.PersistentHashMap$INode;
   8:        144742        3473808  clojure.lang.PersistentHashMap$BitmapIndexedNode
   9:         74176        2967040  clojure.lang.PersistentVector$ChunkedSeq
  10:         88249        2823968  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.11)
  11:         81913        2621216  clojure.lang.LazySeq
  12:         47489        2503328  [I (java.base@21.0.11)
  13:         73873        2363936  clojure.lang.Cons
  14:         17456        2277760  java.lang.Class (java.base@21.0.11)
  15:         63641        2036512  clojure.lang.PersistentArrayMap
  16:         44146        1765840  clojure.lang.PersistentVector
  17:         31121        1742776  clojure.asm.SymbolTable$Entry
  18:         26704        1709056  java.util.concurrent.ConcurrentHashMap (java.base@21.0.11)
  19:         52867        1691744  clojure.lang.Symbol
  20:         41333        1653320  clojure.lang.PersistentHashMap
  21:         11618        1530336  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.11)
  22:         47635        1524320  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.11)
  23:         88245        1411920  java.util.concurrent.locks.ReentrantLock (java.base@21.0.11)
  24:         34114        1364560  clojure.lang.PersistentList
  25:         11510        1126544  [C (java.base@21.0.11)
  26:         43769        1050456  java.lang.StringBuilder (java.base@21.0.11)
  27:         25346        1013840  clojure.lang.PersistentHashMap$NodeSeq
  28:         25496         815872  clojure.lang.PersistentArrayMap$Seq
  29:         24886         796352  clojure.lang.ArraySeq
  30:         32889         789336  clojure.core$map$fn__5956
  31:         24277         776864  java.util.HashMap$Node (java.base@21.0.11)
  32:         15067         723216  java.util.HashMap (java.base@21.0.11)
  33:         18005         720200  clojure.lang.PersistentHashMap$ArrayNode$Seq
  34:         12847         719432  clojure.asm.Label
  35:         17863         714520  java.lang.ref.SoftReference (java.base@21.0.11)
  36:         14519         696912  java.lang.invoke.MemberName (java.base@21.0.11)
  37:         28684         688416  java.util.ArrayList (java.base@21.0.11)
  38:          6614         687856  clojure.lang.DynamicClassLoader
