Picked up JAVA_TOOL_OPTIONS: -Xmx256m

 Version: 2.1
 Chunks: 1
 Start: 2026-08-24 01:35:40 (UTC)
 Duration: 12 s

 Event Type                              Count  Size (bytes)
=============================================================
 jdk.GCPhaseParallel                     10766        263781
 jdk.ClassLoaderStatistics                6595        158150
 jdk.ModuleExport                         6581         65685
 jdk.ObjectAllocationSample               1893         28302
 jdk.PromoteObjectInNewPLAB               1856         31157
 jdk.Deoptimization                        611         14703
 jdk.TenuringDistribution                  585          6347
 jdk.BooleanFlag                           505         15365
 jdk.JavaErrorThrow                        444         10222
 jdk.ActiveSetting                         360         10391
 jdk.NativeMemoryUsage                     297          4194
 jdk.NativeMethodSample                    265          2914
 jdk.MetaspaceChunkFreeListSummary         168          3024
 jdk.GCReferenceStatistics                 168          1709
 jdk.LongFlag                              161          5220
 jdk.ModuleRequire                         155          1397
 jdk.GCPhasePauseLevel1                    147          5950
 jdk.UnsignedLongFlag                      132          4482
 jdk.ExecutionSample                       126          1386
 jdk.Checkpoint                            115       1863732
 jdk.ExecuteVMOperation                     89          1453
 jdk.GCHeapSummary                          84          3108
 jdk.MetaspaceSummary                       84          4284
 jdk.G1HeapSummary                          84          2089
 jdk.SafepointBegin                         64           896
 jdk.PromoteObjectOutsidePLAB               51           798
 jdk.InitialSecurityProperty                48          2568
 jdk.ThreadAllocationStatistics             46           449
 jdk.G1MMU                                  45           585
 jdk.GCCPUTime                              45           702
 jdk.GCPhasePause                           45          1059
 jdk.GarbageCollection                      42           966
 jdk.Compilation                            41          1108
 jdk.OldObjectSample                        41          1294
 jdk.YoungGarbageCollection                 39           507
 jdk.G1GarbageCollection                    39           507
 jdk.EvacuationInformation                  39          1041
 jdk.G1EvacuationYoungStatistics            39          1024
 jdk.G1EvacuationOldStatistics              39           864
 jdk.G1BasicIHOP                            39          1466
 jdk.G1AdaptiveIHOP                         39          1514
 jdk.NativeLibrary                          34          2258
 jdk.GCPhasePauseLevel2                     30          1052
 jdk.StringFlag                             28          1161
 jdk.IntFlag                                25           935
 jdk.CompilationFailure                     21           874
 jdk.ThreadEnd                              20           180
 jdk.GCPhaseConcurrent                      18           819
 jdk.ThreadCPULoad                          18           288
 jdk.ThreadStart                            17           200
 jdk.DoubleFlag                             15           605
 jdk.UnsignedIntFlag                        14           473
 jdk.GCPhaseConcurrentLevel1                12           447
 jdk.ResidentSetSize                        11           187
 jdk.NativeMemoryUsageTotal                 11           187
 jdk.CPULoad                                11           209
 jdk.JavaThreadStatistics                   11           121
 jdk.ClassLoadingStatistics                 11           115
 jdk.CompilerStatistics                     11           315
 jdk.ExceptionStatistics                    11           143
 jdk.ThreadPark                              8           288
 jdk.GCHeapMemoryPoolUsage                   6           226
 jdk.MetaspaceGCThreshold                    6            96
 jdk.CodeCacheStatistics                     6           192
 jdk.MetaspaceAllocationFailure              3            46
 jdk.OldGarbageCollection                    3            36
 jdk.DirectBufferStatistics                  2            46
 jdk.GCHeapMemoryUsage                       2            40
 jdk.NetworkUtilization                      2            26
 jdk.PhysicalMemory                          2            34
 jdk.GCConfiguration                         2            50
 jdk.Metadata                                1        103212
 jdk.Shutdown                                1            40
 jdk.JVMInformation                          1          1464
 jdk.OSInformation                           1           243
 jdk.VirtualizationInformation               1            27
 jdk.CPUInformation                          1          1481
 jdk.CPUTimeStampCounter                     1            19
 jdk.ThreadContextSwitchRate                 1            11
 jdk.SymbolTableStatistics                   1            38
 jdk.StringTableStatistics                   1            38
 jdk.CompilerConfiguration                   1            10
 jdk.CodeCacheConfiguration                  1            45
 jdk.GCSurvivorConfiguration                 1            10
 jdk.GCTLABConfiguration                     1            12
 jdk.GCHeapConfiguration                     1            25
 jdk.YoungGenerationConfiguration            1            17
 jdk.ActiveRecording                         1            52
 jdk.SecurityProviderService                 0             0
 jdk.ContainerConfiguration                  0             0
 jdk.ThreadSleep                             0             0
 jdk.TLSHandshake                            0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.VirtualThreadStart                      0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.JavaMonitorEnter                        0             0
 jdk.VirtualThreadPinned                     0             0
 jdk.JavaMonitorWait                         0             0
 jdk.ContainerIOUsage                        0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.ContinuationFreeze                      0             0
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.X509Certificate                         0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThawFast                    0             0
 jdk.X509Validation                          0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.ReservedStackActivation                 0             0
 jdk.ClassLoad                               0             0
 jdk.ClassDefine                             0             0
 jdk.ClassRedefinition                       0             0
 jdk.RedefineClasses                         0             0
 jdk.RetransformClasses                      0             0
 jdk.ClassUnload                             0             0
 jdk.IntFlagChanged                          0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.LongFlagChanged                         0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.StringFlagChanged                       0             0
 jdk.MetaspaceOOM                            0             0
 jdk.PSHeapSummary                           0             0
 jdk.SystemGC                                0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.PromotionFailed                         0             0
 jdk.EvacuationFailed                        0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
